mukey,muname,cokey,compname,comppct_r,drainagecl,hzname,hzdept_r,hzdepb_r,awc_r,claytotal_r,texcl
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H4,112,137,0,,
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H4,112,137,0,,
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H4,112,137,0,,
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H1,0,61,0.15,21.5,Loam
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H2,61,152,0.1,13,Sandy loam
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H2,61,152,0.1,13,Loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H1,0,61,0.15,31,Clay loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H1,0,61,0.15,31,Clay loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H1,0,61,0.14,21.5,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H1,0,61,0.14,31,Clay loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H2,61,152,0.14,18,Sandy loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H2,61,152,0.14,18,Loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Oi,0,5,0,15,
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,A,5,15,0.2,20,Loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,BAt,15,33,0.18,26,Loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Bt1,33,61,0.18,28,Clay loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Bt2,61,91,0.17,30,Clay loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Bt3,91,117,0.17,27,Clay loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Cr,117,147,,,
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,Oi,0,5,0,15,
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,A,5,15,0.16,20,Loam
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,BAt,15,33,0.15,26,Loam
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,Bt1,33,61,0.15,28,Clay loam
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,Bt2,61,91,0.15,30,Clay loam
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,Bt3,91,117,0.14,27,Clay loam
458932,"Boomer gravelly loam, volcanic bedrock, 11 to 43 percent slopes, MLRA 15",26691494,Boomer,85,Well drained,Cr,117,147,,,
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,Oi,0,5,0,15,
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,A,5,15,0.16,20,Loam
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,BAt,15,33,0.15,26,Loam
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,Bt1,33,61,0.15,28,Clay loam
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,Bt2,61,91,0.15,30,Clay loam
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,Bt3,91,117,0.14,27,Clay loam
458933,"Boomer gravelly loam, volcanic bedrock, 14 to 60 percent slopes, MLRA 15",26691498,Boomer,85,Well drained,Cr,117,147,,,
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691499,Boomer,40,Well drained,H1,0,10,0.16,22.5,Loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691499,Boomer,40,Well drained,H2,10,112,0.17,31,Clay loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691499,Boomer,40,Well drained,H3,112,150,0,,
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691500,Forward,35,Well drained,H1,0,10,0.09,14,Loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691500,Forward,35,Well drained,H2,10,89,0.09,14,Loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691500,Forward,35,Well drained,H3,89,150,0,,
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691501,Felta,15,Well drained,H1,0,18,0.06,23.5,Loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691501,Felta,15,Well drained,H2,18,66,0.06,31,Clay loam
458934,"Boomer-Forward-Felta complex, 30 to 50 percent slopes",26691501,Felta,15,Well drained,H3,66,152,0.07,30,Sandy clay loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691502,Boomer,40,Well drained,H1,0,10,0.16,22.5,Loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691502,Boomer,40,Well drained,H2,10,112,0.21,31,Clay loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691502,Boomer,40,Well drained,H3,112,150,0,,
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691503,Forward,35,Well drained,H1,0,10,0.09,14,Loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691503,Forward,35,Well drained,H2,10,89,0.09,14,Loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691503,Forward,35,Well drained,H3,89,150,0,,
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691504,Felta,20,Well drained,H1,0,18,0.08,23.5,Loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691504,Felta,20,Well drained,H2,18,66,0.06,31,Clay loam
458935,"Boomer-Forward-Felta complex, 5 to 30 percent slopes",26691504,Felta,20,Well drained,H3,66,152,0.08,30,Sandy clay loam
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691506,Bressa,65,Well drained,H1,0,25,0.16,20,Silt loam
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691506,Bressa,65,Well drained,H2,25,84,0.16,31,Silty clay loam
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691506,Bressa,65,Well drained,H3,84,150,0,,
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691505,Dibble,25,Well drained,H1,0,23,0.17,31,Silty clay loam
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691505,Dibble,25,Well drained,H2,23,86,0.16,41,Clay
458936,"Bressa-Dibble complex, 5 to 15 percent slopes",26691505,Dibble,25,Well drained,H3,86,150,0,,
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691508,Bressa,70,Well drained,H1,0,25,0.16,20,Silt loam
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691508,Bressa,70,Well drained,H2,25,84,0.16,31,Silty clay loam
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691508,Bressa,70,Well drained,H3,84,152,0,,
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691507,Dibble,20,Well drained,H1,0,23,0.17,31,Silty clay loam
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691507,Dibble,20,Well drained,H2,23,86,0.16,41,Clay
458937,"Bressa-Dibble complex, 15 to 30 percent slopes",26691507,Dibble,20,Well drained,H3,86,152,0,,
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691510,Bressa,70,Well drained,H1,0,25,0.16,20,Silt loam
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691510,Bressa,70,Well drained,H2,25,84,0.16,31,Silty clay loam
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691510,Bressa,70,Well drained,H3,84,152,0,,
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691509,Dibble,15,Well drained,H1,0,23,0.17,31,Silty clay loam
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691509,Dibble,15,Well drained,H2,23,86,0.16,41,Silty clay
458938,"Bressa-Dibble complex, 30 to 50 percent slopes",26691509,Dibble,15,Well drained,H3,86,152,0,,
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691512,Bressa,75,Well drained,H1,0,25,0.16,20,Silt loam
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691512,Bressa,75,Well drained,H2,25,84,0.16,31,Silty clay loam
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691512,Bressa,75,Well drained,H3,84,152,0,,
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691511,Dibble,15,Well drained,H1,0,23,0.17,25,Silt loam
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691511,Dibble,15,Well drained,H2,23,86,0.16,41,Silty clay
458939,"Bressa-Dibble complex, 50 to 75 percent slopes",26691511,Dibble,15,Well drained,H3,86,152,0,,
458940,"Clear Lake clay, drained, 0 to 2 percent slopes, MLRA 14",26691516,Clear Lake,90,Poorly drained,Ap,0,15,0.15,45,Clay
458940,"Clear Lake clay, drained, 0 to 2 percent slopes, MLRA 14",26691516,Clear Lake,90,Poorly drained,Bss1,15,66,0.15,49,Clay
458940,"Clear Lake clay, drained, 0 to 2 percent slopes, MLRA 14",26691516,Clear Lake,90,Poorly drained,Bss2,66,91,0.15,50,Clay
458940,"Clear Lake clay, drained, 0 to 2 percent slopes, MLRA 14",26691516,Clear Lake,90,Poorly drained,C,91,152,0.15,45,Clay
458941,"Clear Lake clay, overwashed",26691517,Clear Lake,85,Poorly drained,H1,0,46,0.15,17.5,Fine sandy loam
458941,"Clear Lake clay, overwashed",26691517,Clear Lake,85,Poorly drained,H2,46,175,0.16,50,Clay
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,Ap,0,20,0.23,25,Silt loam
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,BAt,20,46,0.22,33,Silty clay loam
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,Bt1,46,81,0.19,35,Silty clay loam
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,Bt2,81,104,0.19,37,Silty clay loam
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,Bt3,104,122,0.18,39,Clay loam
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,Bt4,122,152,0.15,42,Clay
458942,"Cole silt loam, 0 to 2 percent slopes, MLRA 14",26691522,Cole,85,Somewhat poorly drained,BCt,152,163,0.17,35,Clay loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,Ap,0,20,0.23,25,Silt loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,BAt,20,46,0.22,33,Silty clay loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,Bt1,46,81,0.19,35,Silty clay loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,Bt2,81,104,0.19,37,Silty clay loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,Bt3,104,122,0.18,39,Clay loam
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,Bt4,122,152,0.15,42,Clay
458943,"Cole silt loam, 0 to 4 percent slopes, MLRA 14",26691527,Cole,85,Somewhat poorly drained,BCt,152,163,0.17,35,Clay loam
458944,"Contra Costa loam, 5 to 15 percent slopes",26691528,Contra Costa,85,Well drained,H1,0,13,0.19,23.5,Loam
458944,"Contra Costa loam, 5 to 15 percent slopes",26691528,Contra Costa,85,Well drained,H2,13,56,0.2,39,Clay loam
458944,"Contra Costa loam, 5 to 15 percent slopes",26691528,Contra Costa,85,Well drained,H3,56,86,0.18,41,Clay
458944,"Contra Costa loam, 5 to 15 percent slopes",26691528,Contra Costa,85,Well drained,H4,86,150,0,,
458945,"Contra Costa gravelly loam, 5 to 15 percent slopes",26691529,Contra Costa,85,Well drained,H1,0,13,0.17,23.5,Loam
458945,"Contra Costa gravelly loam, 5 to 15 percent slopes",26691529,Contra Costa,85,Well drained,H2,13,86,0.18,39,Clay loam
458945,"Contra Costa gravelly loam, 5 to 15 percent slopes",26691529,Contra Costa,85,Well drained,H3,86,150,0,,
458946,"Coombs gravelly loam, 0 to 2 percent slopes",26691531,Coombs,85,Well drained,H1,0,36,0.17,23.5,Loam
458946,"Coombs gravelly loam, 0 to 2 percent slopes",26691531,Coombs,85,Well drained,H2,36,137,0.17,31,Clay loam
458946,"Coombs gravelly loam, 0 to 2 percent slopes",26691531,Coombs,85,Well drained,H3,137,152,0.04,2.5,Loamy fine sand
458947,"Coombs gravelly loam, 2 to 5 percent slopes",26691533,Coombs,85,Well drained,H1,0,36,0.17,23.5,Loam
458947,"Coombs gravelly loam, 2 to 5 percent slopes",26691533,Coombs,85,Well drained,H2,36,137,0.17,31,Clay loam
458947,"Coombs gravelly loam, 2 to 5 percent slopes",26691533,Coombs,85,Well drained,H3,137,152,0.04,2.5,Loamy fine sand
458948,"Cortina very gravelly loam, 0 to 5 percent slopes, moist, MLRA 14",26691537,Cortina,85,Excessively drained,Ap,0,28,0.09,12,Loam
458948,"Cortina very gravelly loam, 0 to 5 percent slopes, moist, MLRA 14",26691537,Cortina,85,Excessively drained,A,28,53,0.07,8,Sandy loam
458948,"Cortina very gravelly loam, 0 to 5 percent slopes, moist, MLRA 14",26691537,Cortina,85,Excessively drained,C1,53,81,0.02,5,Loamy sand
458948,"Cortina very gravelly loam, 0 to 5 percent slopes, moist, MLRA 14",26691537,Cortina,85,Excessively drained,C2,81,152,0.01,4,Loamy sand
458949,"Cortina very stony loam, 0 to 5 percent slopes",26691538,Cortina,85,Excessively drained,H1,0,53,0.05,17.5,Loam
458949,"Cortina very stony loam, 0 to 5 percent slopes",26691538,Cortina,85,Excessively drained,H2,53,152,0.05,15,Loam
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,A1,0,13,0.17,52,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,A2,13,46,0.17,52,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,Bkss1,46,76,0.17,52,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,Bkss2,76,99,0.17,52,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,Ck,99,135,0.17,52,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691542,Diablo,90,Well drained,Cr,135,200,,,
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691540,Cropley,5,Moderately well drained,A1,0,32,0.15,45,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691540,Cropley,5,Moderately well drained,Bss,32,82,0.15,50,Clay
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691540,Cropley,5,Moderately well drained,Bk,82,91,0.16,32,Sandy clay loam
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691540,Cropley,5,Moderately well drained,BCk2,91,132,0.16,28,Sandy clay loam
458950,"Diablo clay, 5 to 9 percent slopes, MLRA 15",26691540,Cropley,5,Moderately well drained,BCk2,132,200,0.16,28,Sandy clay loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,A1,0,13,0.17,52,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,A2,13,46,0.17,52,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,Bkss1,46,76,0.17,52,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,Bkss2,76,99,0.17,52,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,Ck,99,135,0.17,52,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691547,Diablo,85,Well drained,Cr,135,200,,,
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691548,Cropley,5,Moderately well drained,A1,0,32,0.15,45,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691548,Cropley,5,Moderately well drained,Bss,32,82,0.15,50,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691548,Cropley,5,Moderately well drained,Bk,82,91,0.16,32,Sandy clay loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691548,Cropley,5,Moderately well drained,BCk2,91,132,0.16,28,Sandy clay loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691548,Cropley,5,Moderately well drained,BCk2,132,200,0.16,28,Sandy clay loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,Ap,0,25,0.18,20,Loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,A,25,33,0.18,22,Loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,Btn1,33,64,0.16,45,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,Btn2,64,94,0.16,50,Clay
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,Btn3,94,119,0.18,22,Loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,C1,119,137,0.1,20,Loam
458951,"Diablo clay, 9 to 15 percent slopes, MLRA 15",26691549,Antioch,1,Moderately well drained,C2,137,200,0.19,35,Silty clay loam
458952,"Diablo clay, 15 to 30 percent slopes",26691550,Diablo,85,Well drained,H1,0,152,0.16,47.5,Clay
458952,"Diablo clay, 15 to 30 percent slopes",26691550,Diablo,85,Well drained,H2,152,163,0,,
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,A1,0,13,0.17,52,Clay
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,A2,13,46,0.17,52,Clay
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,Bkss1,46,76,0.17,52,Clay
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,Bkss2,76,99,0.17,52,Clay
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,Ck,99,135,0.17,52,Clay
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691553,Diablo,85,Well drained,Cr,135,200,,,
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691554,Lodo,2,Somewhat excessively drained,H1,0,30,0.16,26.5,Clay loam
458953,"Diablo clay, 30 to 50 percent slopes, MLRA 15",26691554,Lodo,2,Somewhat excessively drained,H2,30,55,,,
458954,Egbert silty clay loam,26691555,Egbert,85,Poorly drained,H1,0,84,0.17,37.5,Silty clay loam
458954,Egbert silty clay loam,26691555,Egbert,85,Poorly drained,H2,84,152,0.17,42.5,Clay
458955,"Fagan clay loam, 5 to 15 percent slopes",26691558,Fagan,85,Well drained,H1,0,41,0.17,31,Clay loam
458955,"Fagan clay loam, 5 to 15 percent slopes",26691558,Fagan,85,Well drained,H2,41,71,0.17,50,Clay
458955,"Fagan clay loam, 5 to 15 percent slopes",26691558,Fagan,85,Well drained,H3,71,117,0.17,32.5,Sandy clay loam
458955,"Fagan clay loam, 5 to 15 percent slopes",26691558,Fagan,85,Well drained,H4,117,150,0,,
458956,"Fagan clay loam, 15 to 30 percent slopes",26691559,Fagan,85,Well drained,H1,0,41,0.17,31,Clay loam
458956,"Fagan clay loam, 15 to 30 percent slopes",26691559,Fagan,85,Well drained,H2,41,71,0.17,50,Clay
458956,"Fagan clay loam, 15 to 30 percent slopes",26691559,Fagan,85,Well drained,H3,71,117,0.17,32.5,Sandy clay loam
458956,"Fagan clay loam, 15 to 30 percent slopes",26691559,Fagan,85,Well drained,H4,117,150,0,,
458957,"Fagan clay loam, 30 to 50 percent slopes",26691560,Fagan,85,Well drained,H1,0,41,0.17,31,Clay loam
458957,"Fagan clay loam, 30 to 50 percent slopes",26691560,Fagan,85,Well drained,H2,41,71,0.17,50,Clay
458957,"Fagan clay loam, 30 to 50 percent slopes",26691560,Fagan,85,Well drained,H3,71,117,0.17,32.5,Sandy clay loam
458957,"Fagan clay loam, 30 to 50 percent slopes",26691560,Fagan,85,Well drained,H4,117,150,0,,
458958,"Fagan clay loam, 30 to 50 percent slopes, slipped",26691561,Fagan,85,Well drained,H1,0,41,0.17,31,Clay loam
458958,"Fagan clay loam, 30 to 50 percent slopes, slipped",26691561,Fagan,85,Well drained,H2,41,71,0.17,50,Clay
458958,"Fagan clay loam, 30 to 50 percent slopes, slipped",26691561,Fagan,85,Well drained,H3,71,117,0.17,32.5,Sandy clay loam
458958,"Fagan clay loam, 30 to 50 percent slopes, slipped",26691561,Fagan,85,Well drained,H4,117,150,0,,
458959,"Felton gravelly loam, 15 to 30 percent slopes",26691562,Felton,85,Well drained,H1,0,25,0.18,22.5,Loam
458959,"Felton gravelly loam, 15 to 30 percent slopes",26691562,Felton,85,Well drained,H2,25,84,0.2,31,Clay loam
458959,"Felton gravelly loam, 15 to 30 percent slopes",26691562,Felton,85,Well drained,H3,84,150,0,,
458960,"Felton gravelly loam, 30 to 50 percent slopes",26691563,Felton,85,Well drained,H1,0,25,0.19,22.5,Loam
458960,"Felton gravelly loam, 30 to 50 percent slopes",26691563,Felton,85,Well drained,H2,25,84,0.2,31,Clay loam
458960,"Felton gravelly loam, 30 to 50 percent slopes",26691563,Felton,85,Well drained,H3,84,150,0,,
458961,"Felton gravelly loam, 50 to 75 percent slopes",26691564,Felton,85,Well drained,H1,0,25,0.19,22.5,Loam
458961,"Felton gravelly loam, 50 to 75 percent slopes",26691564,Felton,85,Well drained,H2,25,84,0.2,31,Clay loam
458961,"Felton gravelly loam, 50 to 75 percent slopes",26691564,Felton,85,Well drained,H3,84,150,0,,
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,Oi,0,5,0,15,
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,A,5,15,0.22,13,Silt loam
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,BA,15,30,0.2,13,Silt loam
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,Bw1,30,48,0.19,12,Silt loam
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,Bw2,48,71,0.17,12,Silt loam
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,Bw3,71,94,0.15,14,Silt loam
458962,"Forward silt loam, 3 to 26 percent slopes, MLRA 15",26691569,Forward,85,Well drained,Cr,94,130,,,
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,Oi,0,5,0,15,
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,A,5,15,0.22,13,Silt loam
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,BA,15,30,0.2,13,Silt loam
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,Bw1,30,48,0.19,12,Silt loam
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,Bw2,48,71,0.17,12,Silt loam
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,Bw3,71,94,0.15,14,Silt loam
458963,"Forward silt loam, 5 to 39 percent slopes, MLRA 15",26691574,Forward,85,Well drained,Cr,94,130,,,
458964,"Forward silt loam, 12 to 57 percent slopes, MLRA 15",26691579,Forward,85,Well drained,Oi,0,5,0,15,
458964,"Forward silt loam, 12 to 57 percent slopes, MLRA 15",26691579,Forward,85,Well drained,A,5,15,0.22,13,Silt loam
458964,"Forward silt loam, 12 to 57 percent slopes, MLRA 15",26691579,Forward,85,Well drained,BA,15,30,0.2,13,Silt loam
