date,station_id,eto,tx,tn,rs,rh
2013-01-01,77,0.06,56.7,30.4,245.0,69.0
2013-01-02,77,0.06,62.2,28.6,254.0,62.0
2013-01-03,77,0.05,57.4,26.2,217.0,79.0
2013-01-04,77,0.05,62.5,29.5,243.0,79.0
2013-01-05,77,0.0,49.0,32.0,44.0,92.0
2013-01-06,77,0.02,53.3,34.2,102.0,89.0
2013-01-07,77,0.04,59.8,33.2,202.0,90.0
2013-01-08,77,0.04,60.5,38.3,218.0,93.0
2013-01-09,77,0.01,48.3,32.0,77.0,86.0
2013-01-10,77,0.04,52.5,31.2,222.0,75.0
2013-01-11,77,0.03,49.6,27.4,160.0,83.0
2013-01-12,77,0.05,51.5,27.8,268.0,69.0
2013-01-13,77,0.07,54.1,20.9,261.0,48.0
2013-01-14,77,0.07,57.8,29.9,270.0,38.0
2013-01-15,77,0.05,54.0,25.4,252.0,75.0
2013-01-16,77,0.06,60.4,25.4,276.0,80.0
2013-01-17,77,0.05,65.7,23.9,228.0,79.0
2013-01-18,77,0.07,70.0,28.9,229.0,61.0
2013-01-19,77,0.08,69.5,29.5,231.0,51.0
2013-01-20,77,0.07,72.2,33.9,235.0,49.0
2013-01-21,77,0.07,66.7,32.4,236.0,60.0
2013-01-22,77,0.06,68.7,34.2,212.0,58.0
2013-01-23,77,0.0,51.5,44.5,33.0,86.0
2013-01-24,77,0.03,63.4,32.0,158.0,86.0
2013-01-25,77,0.05,66.6,46.5,192.0,86.0
2013-01-26,77,0.07,60.0,38.5,268.0,74.0
2013-01-27,77,0.07,58.5,30.9,298.0,70.0
2013-01-28,77,0.07,60.8,33.1,277.0,71.0
2013-01-29,77,0.07,64.3,34.2,270.0,75.0
2013-01-30,77,0.08,65.3,37.3,306.0,76.0
2013-01-31,77,0.08,67.8,31.3,315.0,78.0
2013-02-01,77,0.08,71.8,35.0,318.0,69.0
2013-02-02,77,0.06,64.0,36.6,262.0,83.0
2013-02-03,77,0.06,61.4,38.0,251.0,89.0
2013-02-04,77,0.03,54.6,36.5,158.0,96.0
2013-02-05,77,0.05,62.8,38.2,214.0,82.0
2013-02-06,77,0.08,61.4,30.4,319.0,75.0
2013-02-07,77,0.08,56.9,34.0,298.0,76.0
2013-02-08,77,0.09,60.1,33.0,312.0,56.0
2013-02-09,77,0.1,62.2,33.0,351.0,40.0
2013-02-10,77,0.09,66.5,27.2,340.0,66.0
2013-02-11,77,0.11,68.6,36.6,356.0,48.0
2013-02-12,77,0.09,65.5,31.9,346.0,71.0
2013-02-13,77,0.09,64.2,30.7,352.0,81.0
2013-02-14,77,0.1,74.2,32.2,366.0,69.0
2013-02-15,77,0.11,75.0,39.5,371.0,54.0
2013-02-16,77,0.1,69.9,39.6,317.0,68.0
2013-02-17,77,0.1,65.4,32.2,375.0,74.0
2013-02-18,77,0.05,55.1,32.7,198.0,79.0
2013-02-19,77,0.05,51.5,33.5,212.0,77.0
2013-02-20,77,0.11,62.5,30.0,394.0,62.0
2013-02-21,77,0.11,64.7,31.1,401.0,57.0
2013-02-22,77,0.11,65.8,32.4,381.0,67.0
2013-02-23,77,0.12,61.4,36.3,398.0,52.0
2013-02-24,77,0.14,69.5,36.7,387.0,35.0
2013-02-25,77,0.11,68.7,31.4,416.0,69.0
2013-02-26,77,0.14,72.1,33.1,434.0,41.0
2013-02-27,77,0.12,68.5,31.9,398.0,59.0
2013-02-28,77,0.11,72.9,32.0,292.0,71.0
2013-03-01,77,0.12,75.5,39.1,426.0,72.0
2013-03-02,77,0.08,72.9,46.6,265.0,72.0
2013-03-03,77,0.11,69.7,41.4,391.0,75.0
2013-03-04,77,0.07,61.8,35.9,296.0,85.0
2013-03-05,77,0.07,55.9,31.2,293.0,82.0
2013-03-06,77,0.08,56.5,35.6,317.0,74.0
2013-03-07,77,0.06,55.6,33.7,244.0,75.0
2013-03-08,77,0.13,65.5,33.4,450.0,67.0
2013-03-09,77,0.15,72.4,34.6,478.0,58.0
2013-03-10,77,0.14,70.2,34.6,474.0,61.0
2013-03-11,77,0.14,74.2,35.2,456.0,67.0
2013-03-12,77,0.14,75.8,38.3,476.0,76.0
2013-03-13,77,0.14,79.9,41.3,469.0,71.0
2013-03-14,77,0.09,72.3,45.2,323.0,79.0
2013-03-15,77,0.12,75.6,42.3,372.0,74.0
2013-03-16,77,0.15,77.4,39.5,466.0,62.0
2013-03-17,77,0.14,71.9,40.6,482.0,57.0
2013-03-18,77,0.11,68.6,37.9,360.0,71.0
2013-03-19,77,0.05,65.3,41.8,195.0,76.0
2013-03-20,77,0.02,58.5,44.7,130.0,93.0
2013-03-21,77,0.14,69.1,36.3,528.0,69.0
2013-03-22,77,0.18,69.6,37.1,524.0,38.0
2013-03-23,77,0.16,71.6,37.4,514.0,45.0
2013-03-24,77,0.16,73.0,36.5,520.0,66.0
2013-03-25,77,0.12,63.4,36.8,416.0,78.0
2013-03-26,77,0.16,71.1,41.1,512.0,70.0
2013-03-27,77,0.06,63.2,41.2,213.0,82.0
2013-03-28,77,0.07,65.4,47.6,276.0,84.0
2013-03-29,77,0.17,78.4,32.0,481.0,57.0
2013-03-30,77,0.07,66.3,53.5,264.0,85.0
2013-03-31,77,0.09,65.5,51.1,336.0,88.0
2013-04-01,77,0.09,65.6,46.9,346.0,84.0
2013-04-02,77,0.13,72.1,43.2,441.0,80.0
2013-04-03,77,0.14,76.2,44.2,460.0,77.0
2013-04-04,77,0.06,64.1,50.5,234.0,91.0
2013-04-05,77,0.13,65.0,49.7,422.0,80.0
2013-04-06,77,0.1,68.9,52.2,320.0,79.0
2013-04-07,77,0.15,65.1,50.1,486.0,78.0
2013-04-08,77,0.22,70.8,41.8,600.0,45.0
2013-04-09,77,0.25,77.1,45.8,601.0,32.0
2013-04-10,77,0.23,87.5,50.8,587.0,44.0
2013-04-11,77,0.19,78.0,46.9,580.0,56.0
2013-04-12,77,0.19,79.3,41.0,585.0,62.0
2013-04-13,77,0.19,78.4,42.4,549.0,59.0
2013-04-14,77,0.21,75.8,41.9,605.0,53.0
2013-04-15,77,0.19,63.1,39.7,584.0,56.0
2013-04-16,77,0.24,68.6,36.4,628.0,27.0
2013-04-17,77,0.25,70.8,45.6,633.0,26.0
2013-04-18,77,0.23,78.6,45.6,619.0,32.0
2013-04-19,77,0.22,82.9,42.2,595.0,52.0
2013-04-20,77,0.24,83.8,46.1,631.0,42.0
2013-04-21,77,0.25,88.0,42.7,625.0,41.0
2013-04-22,77,0.27,89.9,51.3,637.0,30.0
2013-04-23,77,0.27,85.6,46.6,661.0,22.0
2013-04-24,77,0.2,73.9,40.2,630.0,70.0
2013-04-25,77,0.17,70.7,46.0,546.0,71.0
2013-04-26,77,0.19,78.7,41.8,583.0,73.0
2013-04-27,77,0.2,84.5,44.1,595.0,72.0
2013-04-28,77,0.22,88.4,44.0,605.0,62.0
2013-04-29,77,0.25,91.0,32.0,674.0,37.0
2013-04-30,77,0.29,86.0,49.1,661.0,24.0
2013-05-01,77,0.3,87.3,58.2,677.0,
2013-05-02,77,0.28,91.2,32.0,508.0,21.0
2013-05-03,77,0.25,92.1,45.0,650.0,32.0
2013-05-04,77,0.26,89.9,49.1,670.0,35.0
2013-05-05,77,0.09,66.3,52.9,293.0,66.0
2013-05-06,77,0.07,70.2,48.1,258.0,76.0
2013-05-07,77,0.18,73.4,52.8,514.0,67.0
2013-05-08,77,0.16,72.7,48.2,507.0,76.0
2013-05-09,77,0.2,77.6,46.7,626.0,73.0
2013-05-10,77,0.21,77.9,47.1,625.0,73.0
2013-05-11,77,0.22,91.7,46.5,618.0,66.0
2013-05-12,77,0.24,88.3,44.9,674.0,61.0
2013-05-13,77,0.23,84.0,44.0,658.0,68.0
2013-05-14,77,0.23,78.2,48.5,652.0,67.0
2013-05-15,77,0.2,80.3,41.7,601.0,61.0
2013-05-16,77,0.19,73.7,49.2,526.0,63.0
2013-05-17,77,0.23,73.5,42.3,674.0,59.0
2013-05-18,77,0.24,83.0,39.4,674.0,53.0
2013-05-19,77,0.26,87.5,44.2,700.0,38.0
2013-05-20,77,0.29,90.2,52.4,692.0,28.0
2013-05-21,77,0.25,75.9,46.5,686.0,50.0
2013-05-22,77,0.23,70.9,38.7,705.0,41.0
2013-05-23,77,0.21,72.9,39.5,668.0,51.0
2013-05-24,77,0.24,76.9,39.4,694.0,51.0
2013-05-25,77,0.22,76.4,39.0,649.0,61.0
2013-05-26,77,0.24,74.2,42.8,674.0,63.0
2013-05-27,77,0.07,66.5,44.6,279.0,81.0
2013-05-28,77,0.2,77.1,54.8,581.0,71.0
2013-05-29,77,0.25,79.2,52.1,703.0,56.0
2013-05-30,77,0.25,83.8,43.1,708.0,50.0
2013-05-31,77,0.27,93.0,45.7,713.0,44.0
2013-06-01,77,0.25,92.3,49.0,658.0,51.0
2013-06-02,77,0.25,86.5,49.9,695.0,60.0
2013-06-03,77,0.23,78.8,47.7,664.0,68.0
2013-06-04,77,0.23,73.7,46.4,693.0,71.0
2013-06-05,77,0.22,77.0,52.1,652.0,69.0
2013-06-06,77,0.23,81.5,51.0,670.0,70.0
2013-06-07,77,0.24,93.8,32.0,705.0,53.0
2013-06-08,77,0.26,94.2,55.3,692.0,65.0
2013-06-09,77,0.22,68.6,52.4,681.0,76.0
2013-06-10,77,0.04,63.9,50.5,186.0,80.0
2013-06-11,77,0.22,82.0,48.2,648.0,68.0
2013-06-12,77,0.26,85.6,44.5,727.0,49.0
2013-06-13,77,0.26,85.5,45.0,728.0,44.0
2013-06-14,77,0.28,89.1,51.2,722.0,34.0
2013-06-15,77,0.23,75.5,45.1,678.0,73.0
2013-06-16,77,0.27,88.5,43.5,713.0,55.0
2013-06-17,77,0.26,82.8,47.1,711.0,60.0
2013-06-18,77,0.25,76.2,48.2,694.0,59.0
2013-06-19,77,0.25,79.3,44.0,711.0,53.0
2013-06-20,77,0.27,83.4,50.5,710.0,47.0
2013-06-21,77,0.26,87.3,45.6,711.0,51.0
2013-06-22,77,0.28,90.8,46.8,706.0,45.0
2013-06-23,77,0.09,71.4,55.1,312.0,78.0
2013-06-24,77,0.05,65.2,57.7,198.0,86.0
2013-06-25,77,0.03,68.9,58.7,153.0,93.0
2013-06-26,77,0.18,81.7,61.3,517.0,78.0
2013-06-27,77,0.25,94.6,57.5,673.0,66.0
2013-06-28,77,0.28,101.7,59.9,692.0,57.0
2013-06-29,77,0.29,103.7,58.2,698.0,54.0
2013-06-30,77,0.27,95.8,58.2,694.0,63.0
2013-07-01,77,0.26,97.9,56.0,660.0,63.0
2013-07-02,77,0.26,89.3,62.4,649.0,64.0
2013-07-03,77,0.26,98.5,59.1,636.0,61.0
2013-07-04,77,0.27,93.8,59.8,662.0,61.0
2013-07-05,77,0.24,75.3,51.5,683.0,68.0
2013-07-06,77,0.21,76.4,55.0,613.0,73.0
2013-07-07,77,0.23,86.0,52.1,645.0,69.0
2013-07-08,77,0.24,86.9,46.4,671.0,66.0
2013-07-09,77,0.27,97.4,48.0,698.0,53.0
2013-07-10,77,0.26,86.4,49.7,704.0,64.0
2013-07-11,77,0.22,78.9,46.3,644.0,73.0
2013-07-12,77,0.21,80.3,51.3,604.0,73.0
2013-07-13,77,0.24,85.5,48.0,669.0,67.0
2013-07-14,77,0.24,82.3,46.5,697.0,70.0
2013-07-15,77,0.2,78.6,47.1,598.0,72.0
2013-07-16,77,0.2,73.8,51.2,592.0,72.0
2013-07-17,77,0.22,83.1,47.0,616.0,74.0
2013-07-18,77,0.23,87.6,47.5,636.0,72.0
2013-07-19,77,0.22,85.6,51.4,618.0,72.0
2013-07-20,77,0.21,83.3,56.2,595.0,73.0
2013-07-21,77,0.23,82.7,54.8,620.0,69.0
2013-07-22,77,0.18,86.8,52.1,481.0,66.0
2013-07-23,77,0.17,85.0,58.6,424.0,56.0
2013-07-24,77,0.25,94.6,54.0,642.0,55.0
2013-07-25,77,0.24,83.6,54.5,646.0,63.0
2013-07-26,77,0.23,83.8,50.2,639.0,70.0
2013-07-27,77,0.21,81.2,49.2,598.0,73.0
2013-07-28,77,0.2,76.6,49.9,593.0,76.0
2013-07-29,77,0.17,75.4,52.2,504.0,75.0
2013-07-30,77,0.2,80.5,52.6,591.0,72.0
2013-07-31,77,0.2,78.9,50.4,586.0,70.0
2013-08-01,77,0.23,79.2,43.5,662.0,69.0
2013-08-02,77,0.23,83.0,45.0,656.0,69.0
2013-08-03,77,0.2,78.5,51.2,588.0,74.0
2013-08-04,77,0.18,76.5,50.9,536.0,75.0
2013-08-05,77,0.2,79.7,47.9,585.0,73.0
2013-08-06,77,0.18,79.2,47.4,526.0,73.0
2013-08-07,77,0.17,73.5,54.7,503.0,74.0
2013-08-08,77,0.2,81.5,52.2,585.0,68.0
2013-08-09,77,0.19,80.9,51.2,538.0,72.0
2013-08-10,77,0.2,82.7,50.9,554.0,71.0
2013-08-11,77,0.19,81.2,51.5,549.0,73.0
2013-08-12,77,0.19,83.4,46.8,542.0,73.0
2013-08-13,77,0.24,94.0,48.2,614.0,58.0
2013-08-14,77,0.23,87.5,48.2,613.0,63.0
2013-08-15,77,0.23,91.1,32.0,474.0,56.0
2013-08-16,77,0.23,93.3,57.0,572.0,63.0
2013-08-17,77,0.14,82.0,52.7,425.0,71.0
2013-08-18,77,0.22,96.7,54.3,551.0,61.0
2013-08-19,77,0.14,95.7,60.2,385.0,66.0
2013-08-20,77,0.2,84.4,58.6,547.0,69.0
2013-08-21,77,0.19,84.1,52.4,542.0,67.0
2013-08-22,77,0.19,81.7,49.3,572.0,70.0
2013-08-23,77,0.19,80.6,49.1,548.0,74.0
2013-08-24,77,0.21,84.7,48.2,561.0,67.0
2013-08-25,77,0.2,83.0,54.2,575.0,71.0
2013-08-26,77,0.2,85.8,53.9,567.0,65.0
2013-08-27,77,0.22,89.6,48.0,589.0,61.0
2013-08-28,77,0.2,88.4,48.6,564.0,70.0
2013-08-29,77,0.21,88.3,57.6,558.0,68.0
2013-08-30,77,0.22,95.3,54.3,573.0,59.0
2013-08-31,77,0.21,88.9,50.3,577.0,62.0
2013-09-01,77,0.17,86.9,56.9,431.0,64.0
2013-09-02,77,0.2,84.0,56.1,533.0,69.0
2013-09-03,77,0.21,83.7,49.5,569.0,65.0
2013-09-04,77,0.2,84.7,47.7,559.0,65.0
2013-09-05,77,0.2,86.0,47.9,561.0,61.0
2013-09-06,77,0.22,95.1,47.7,565.0,45.0
2013-09-07,77,0.24,97.8,48.5,558.0,40.0
2013-09-08,77,0.21,95.8,49.4,543.0,57.0
2013-09-09,77,0.2,99.4,32.0,412.0,50.0
2013-09-10,77,0.17,80.7,51.2,477.0,77.0
2013-09-11,77,0.14,76.1,62.3,418.0,75.0
2013-09-12,77,0.16,85.1,54.4,471.0,72.0
2013-09-13,77,0.16,83.4,52.6,454.0,73.0
2013-09-14,77,0.15,81.3,48.9,453.0,75.0
2013-09-15,77,0.17,83.5,46.2,486.0,71.0
2013-09-16,77,0.17,86.5,52.0,470.0,69.0
2013-09-17,77,0.18,82.4,48.7,495.0,61.0
2013-09-18,77,0.2,86.7,47.3,510.0,45.0
2013-09-19,77,0.2,91.8,42.9,506.0,42.0
2013-09-20,77,0.17,78.3,40.1,496.0,71.0
2013-09-21,77,0.04,68.4,50.7,173.0,87.0
2013-09-22,77,0.13,75.9,45.5,429.0,72.0
2013-09-23,77,0.16,83.8,47.8,474.0,67.0
2013-09-24,77,0.17,79.5,50.8,464.0,61.0
2013-09-25,77,0.14,74.3,44.8,427.0,56.0
2013-09-26,77,0.18,77.6,44.5,478.0,37.0
2013-09-27,77,0.17,81.2,46.7,471.0,35.0
2013-09-28,77,0.17,83.8,41.4,454.0,48.0
2013-09-29,77,0.05,74.8,51.1,173.0,86.0
2013-09-30,77,0.09,74.0,32.0,175.0,88.0
2013-10-01,77,0.14,80.0,42.0,442.0,70.0
2013-10-02,77,0.16,79.8,44.2,438.0,57.0
2013-10-03,77,0.2,74.8,40.2,447.0,32.0
2013-10-04,77,0.22,81.9,56.1,451.0,17.0
2013-10-05,77,0.17,86.7,44.3,447.0,28.0
2013-10-06,77,0.15,85.8,42.1,380.0,34.0
2013-10-07,77,0.16,85.7,41.3,400.0,35.0
2013-10-08,77,0.13,78.1,38.2,383.0,60.0
2013-10-09,77,0.14,75.0,37.2,395.0,51.0
2013-10-10,77,0.13,72.7,42.2,395.0,62.0
2013-10-11,77,0.11,74.3,36.3,372.0,72.0
2013-10-12,77,0.12,75.0,37.3,384.0,73.0
2013-10-13,77,0.14,77.8,39.8,403.0,50.0
2013-10-14,77,0.14,81.2,37.3,398.0,47.0
2013-10-15,77,0.16,82.6,39.1,403.0,34.0
2013-10-16,77,0.14,82.4,35.9,381.0,38.0
2013-10-17,77,0.14,84.5,37.0,382.0,40.0
2013-10-18,77,0.14,82.4,37.1,381.0,49.0
2013-10-19,77,0.13,85.3,36.6,376.0,48.0
2013-10-20,77,0.12,81.1,36.8,371.0,61.0
2013-10-21,77,0.09,74.9,35.6,336.0,80.0
2013-10-22,77,0.1,79.6,36.8,342.0,76.0
2013-10-23,77,0.09,75.1,39.4,307.0,81.0
2013-10-24,77,0.06,67.7,39.0,239.0,86.0
2013-10-25,77,0.09,74.2,36.1,322.0,77.0
2013-10-26,77,0.11,83.2,36.6,342.0,61.0
2013-10-27,77,0.08,67.4,35.1,283.0,79.0
2013-10-28,77,0.09,66.3,33.9,306.0,72.0
2013-10-29,77,0.08,64.1,40.3,277.0,73.0
2013-10-30,77,0.08,69.3,34.9,291.0,72.0
2013-10-31,77,0.1,74.6,34.6,320.0,68.0
2013-11-01,77,0.1,79.2,38.8,321.0,57.0
2013-11-02,77,0.09,74.1,37.7,280.0,65.0
2013-11-03,77,0.1,68.5,33.4,261.0,37.0
2013-11-04,77,0.14,71.8,37.5,319.0,30.0
2013-11-05,77,0.11,76.1,43.3,302.0,34.0
2013-11-06,77,0.1,75.6,42.1,283.0,47.0
2013-11-07,77,0.1,77.2,43.0,273.0,46.0
2013-11-08,77,0.1,77.1,39.1,295.0,61.0
2013-11-09,77,0.09,75.6,35.5,291.0,61.0
2013-11-10,77,0.08,68.4,36.4,277.0,79.0
2013-11-11,77,0.05,67.9,35.5,201.0,79.0
2013-11-12,77,0.04,71.6,43.8,138.0,65.0
2013-11-13,77,0.09,80.0,38.8,286.0,67.0
2013-11-14,77,0.03,62.3,41.8,151.0,90.0
2013-11-15,77,0.08,70.7,37.8,279.0,54.0
2013-11-16,77,0.07,66.7,33.8,268.0,71.0
2013-11-17,77,0.06,64.3,33.6,243.0,84.0
2013-11-18,77,0.04,60.3,34.4,179.0,83.0
2013-11-19,77,0.01,56.1,48.9,63.0,95.0
2013-11-20,77,0.01,60.3,52.3,70.0,94.0
2013-11-21,77,0.14,63.0,48.4,260.0,39.0
2013-11-22,77,0.17,73.0,49.6,265.0,11.0
2013-11-23,77,0.11,71.2,36.5,262.0,24.0
2013-11-24,77,0.06,65.2,30.9,253.0,66.0
2013-11-25,77,0.06,65.6,34.9,246.0,74.0
2013-11-26,77,0.05,67.6,36.5,202.0,67.0
2013-11-27,77,0.06,68.9,39.9,214.0,60.0
2013-11-28,77,0.07,73.8,43.1,219.0,56.0
2013-11-29,77,0.07,69.9,36.5,241.0,68.0
2013-11-30,77,0.06,69.0,39.4,230.0,73.0
2013-12-01,77,0.06,70.3,35.7,238.0,75.0
2013-12-02,77,0.05,65.7,35.4,211.0,80.0
2013-12-03,77,0.05,57.8,38.0,137.0,55.0
2013-12-04,77,0.07,54.6,23.6,246.0,36.0
2013-12-05,77,0.06,51.3,21.8,242.0,47.0
2013-12-06,77,0.03,47.3,20.7,156.0,84.0
2013-12-07,77,0.06,47.6,26.2,238.0,73.0
2013-12-08,77,0.05,48.4,25.5,238.0,65.0
2013-12-09,77,0.06,56.4,22.8,241.0,53.0
2013-12-10,77,0.06,56.3,23.3,234.0,57.0
2013-12-11,77,0.06,62.2,25.4,230.0,68.0
2013-12-12,77,0.06,60.7,29.7,230.0,67.0
2013-12-13,77,0.05,60.4,26.8,228.0,74.0
2013-12-14,77,0.06,68.9,28.2,233.0,70.0
2013-12-15,77,0.05,63.6,30.6,228.0,72.0
2013-12-16,77,0.06,75.7,31.8,228.0,64.0
2013-12-17,77,0.05,68.6,33.8,200.0,66.0
2013-12-18,77,0.04,62.7,35.8,147.0,75.0
2013-12-19,77,0.1,60.8,33.2,227.0,41.0
2013-12-20,77,0.1,69.6,39.8,224.0,21.0
2013-12-21,77,0.05,64.9,32.0,222.0,75.0
2013-12-22,77,0.06,65.0,32.9,219.0,74.0
2013-12-23,77,0.06,70.2,33.0,225.0,73.0
2013-12-24,77,0.06,72.0,35.1,230.0,73.0
2013-12-25,77,0.06,73.6,28.9,235.0,60.0
2013-12-26,77,0.06,70.8,30.0,233.0,58.0
2013-12-27,77,0.04,61.7,32.8,141.0,61.0
2013-12-28,77,0.1,75.4,28.6,235.0,35.0
2013-12-29,77,0.1,72.1,36.7,236.0,21.0
2013-12-30,77,0.06,65.6,33.6,219.0,50.0
2013-12-31,77,0.05,63.7,34.1,198.0,63.0
