date,station_id,eto,tx,tn,rs,rh
2018-01-01,77,0.05,67.2,38.1,196.0,82.0
2018-01-02,77,0.04,70.6,39.0,122.0,72.0
2018-01-03,77,0.01,61.1,44.9,58.0,83.0
2018-01-04,77,0.02,60.7,50.5,96.0,95.0
2018-01-05,77,0.0,58.9,49.2,47.0,96.0
2018-01-06,77,0.04,62.6,39.8,198.0,93.0
2018-01-07,77,0.01,53.1,35.4,80.0,97.0
2018-01-08,77,0.0,52.2,48.1,17.0,98.0
2018-01-09,77,0.01,64.1,44.0,83.0,93.0
2018-01-10,77,0.04,58.9,40.6,161.0,90.0
2018-01-11,77,0.01,58.5,42.6,88.0,96.0
2018-01-12,77,0.06,66.7,39.8,225.0,88.0
2018-01-13,77,0.04,63.3,34.0,208.0,93.0
2018-01-14,77,0.03,58.5,36.5,139.0,92.0
2018-01-15,77,0.03,60.0,38.6,154.0,91.0
2018-01-16,77,0.01,57.2,50.3,72.0,98.0
2018-01-17,77,0.05,62.5,47.5,204.0,93.0
2018-01-18,77,0.01,56.4,46.4,69.0,93.0
2018-01-19,77,0.04,56.6,35.6,201.0,85.0
2018-01-20,77,0.06,58.6,32.9,249.0,77.0
2018-01-21,77,0.03,53.2,29.8,145.0,93.0
2018-01-22,77,0.03,58.0,41.1,144.0,93.0
2018-01-23,77,0.06,59.0,34.6,240.0,88.0
2018-01-24,77,0.02,55.7,36.6,89.0,96.0
2018-01-25,77,0.03,55.6,34.3,158.0,95.0
2018-01-26,77,0.05,56.4,31.1,242.0,88.0
2018-01-27,77,0.05,61.0,37.7,211.0,86.0
2018-01-28,77,0.06,66.3,34.2,264.0,90.0
2018-01-29,77,0.03,61.6,37.0,131.0,94.0
2018-01-30,77,0.06,68.2,35.3,252.0,87.0
2018-01-31,77,0.07,71.8,34.3,274.0,82.0
2018-02-01,77,0.07,75.9,39.9,269.0,75.0
2018-02-02,77,0.08,78.1,40.6,270.0,76.0
2018-02-03,77,0.09,82.3,42.6,286.0,67.0
2018-02-04,77,0.08,82.9,44.8,264.0,71.0
2018-02-05,77,0.08,75.4,40.9,278.0,79.0
2018-02-06,77,0.15,80.2,52.0,307.0,31.0
2018-02-07,77,0.1,77.7,45.5,298.0,51.0
2018-02-08,77,0.09,76.8,42.4,307.0,68.0
2018-02-09,77,0.09,76.7,40.1,301.0,74.0
2018-02-10,77,0.13,72.2,42.3,301.0,35.0
2018-02-11,77,0.07,60.5,32.5,209.0,58.0
2018-02-12,77,0.1,61.9,31.7,313.0,51.0
2018-02-13,77,0.12,67.9,37.3,334.0,38.0
2018-02-14,77,0.07,63.0,31.8,245.0,70.0
2018-02-15,77,0.13,67.3,33.5,349.0,38.0
2018-02-16,77,0.1,71.6,31.4,343.0,51.0
2018-02-17,77,0.11,72.1,34.2,339.0,62.0
2018-02-18,77,0.1,57.9,32.7,312.0,69.0
2018-02-19,77,0.06,53.2,28.9,244.0,62.0
2018-02-20,77,0.09,54.4,24.2,318.0,59.0
2018-02-21,77,0.09,59.8,29.6,330.0,58.0
2018-02-22,77,0.09,55.5,26.3,307.0,69.0
2018-02-23,77,0.11,57.8,25.5,378.0,48.0
2018-02-24,77,0.09,59.0,26.0,313.0,69.0
2018-02-25,77,0.12,66.1,29.6,374.0,60.0
2018-02-26,77,0.07,58.0,38.4,250.0,77.0
2018-02-27,77,0.15,62.0,33.0,399.0,31.0
2018-02-28,77,0.06,56.4,28.2,238.0,85.0
2018-03-01,77,0.07,57.7,43.0,224.0,81.0
2018-03-02,77,0.03,49.8,31.5,154.0,90.0
2018-03-03,77,0.04,51.4,31.0,224.0,94.0
2018-03-04,77,0.09,59.2,30.5,398.0,80.0
2018-03-05,77,0.12,66.8,30.2,414.0,63.0
2018-03-06,77,0.12,71.7,33.8,376.0,56.0
2018-03-07,77,0.12,70.2,44.2,311.0,52.0
2018-03-08,77,0.1,67.7,44.8,355.0,81.0
2018-03-09,77,0.09,67.5,39.8,317.0,81.0
2018-03-10,77,0.03,62.0,43.6,150.0,92.0
2018-03-11,77,0.12,73.0,38.1,412.0,78.0
2018-03-12,77,0.1,73.5,43.7,324.0,82.0
2018-03-13,77,0.05,61.5,46.9,186.0,84.0
2018-03-14,77,0.06,56.9,39.1,231.0,86.0
2018-03-15,77,0.03,54.3,33.8,155.0,93.0
