date,station_id,eto,tx,tn,rs,rh
2018-01-01,109,0.03,63.1,33.1,154.0,89.0
2018-01-02,109,0.02,60.5,35.7,87.0,84.0
2018-01-03,109,0.01,57.5,42.7,45.0,90.0
2018-01-04,109,0.02,63.1,51.6,106.0,92.0
2018-01-05,109,0.0,60.1,51.9,55.0,100.0
2018-01-06,109,0.04,59.6,36.2,203.0,98.0
2018-01-07,109,0.01,50.4,32.3,64.0,100.0
2018-01-08,109,0.0,56.4,47.2,21.0,100.0
2018-01-09,109,0.02,62.3,44.9,99.0,99.0
2018-01-10,109,0.02,58.0,42.8,102.0,95.0
2018-01-11,109,0.02,61.6,40.8,133.0,99.0
2018-01-12,109,0.02,59.7,38.1,131.0,100.0
2018-01-13,109,0.04,56.7,34.8,192.0,100.0
2018-01-14,109,0.02,56.7,38.3,121.0,98.0
2018-01-15,109,0.03,57.1,40.3,157.0,97.0
2018-01-16,109,0.01,57.2,50.6,72.0,100.0
2018-01-17,109,0.02,57.1,49.5,105.0,100.0
2018-01-18,109,0.0,56.8,48.3,43.0,100.0
2018-01-19,109,0.04,60.2,33.2,196.0,92.0
2018-01-20,109,0.05,60.2,28.5,236.0,86.0
2018-01-21,109,0.03,55.5,30.0,150.0,97.0
2018-01-22,109,0.03,57.2,35.5,148.0,98.0
2018-01-23,109,0.05,59.5,34.4,234.0,94.0
2018-01-24,109,0.01,56.6,35.3,72.0,100.0
2018-01-25,109,0.04,56.1,33.6,188.0,96.0
2018-01-26,109,0.05,55.5,29.5,231.0,96.0
2018-01-27,109,0.05,64.6,37.3,229.0,89.0
2018-01-28,109,0.06,64.6,33.8,254.0,90.0
2018-01-29,109,0.03,60.9,36.7,131.0,98.0
2018-01-30,109,0.06,65.0,32.0,234.0,92.0
2018-01-31,109,0.06,66.3,33.4,252.0,89.0
2018-02-01,109,0.06,71.5,39.2,241.0,79.0
2018-02-02,109,0.07,74.1,39.4,242.0,82.0
2018-02-03,109,0.08,75.0,38.0,257.0,80.0
2018-02-04,109,0.07,74.4,41.3,238.0,85.0
2018-02-05,109,0.07,71.6,40.7,250.0,88.0
2018-02-06,109,0.07,,40.2,284.0,53.0
2018-02-07,109,0.08,72.5,36.1,267.0,78.0
2018-02-08,109,0.08,74.8,37.7,284.0,76.0
2018-02-09,109,0.08,75.8,37.4,281.0,82.0
2018-02-10,109,0.09,75.5,39.3,273.0,49.0
2018-02-11,109,0.05,62.4,30.6,191.0,76.0
2018-02-12,109,0.08,65.3,29.9,299.0,61.0
2018-02-13,109,0.1,65.3,33.0,303.0,43.0
2018-02-14,109,0.06,63.9,28.2,244.0,80.0
2018-02-15,109,0.09,72.1,30.4,310.0,56.0
2018-02-16,109,0.09,65.9,26.9,306.0,64.0
2018-02-17,109,0.09,69.2,29.9,303.0,77.0
2018-02-18,109,0.08,60.3,33.7,308.0,77.0
2018-02-19,109,0.06,54.7,27.2,244.0,70.0
2018-02-20,109,0.07,53.7,22.2,280.0,71.0
2018-02-21,109,0.08,57.3,30.0,303.0,68.0
2018-02-22,109,0.06,55.6,26.8,242.0,79.0
2018-02-23,109,0.09,59.8,22.6,342.0,58.0
2018-02-24,109,0.07,59.8,23.7,290.0,81.0
2018-02-25,109,0.08,63.6,27.8,341.0,75.0
2018-02-26,109,0.06,60.4,34.9,269.0,85.0
2018-02-27,109,0.1,62.3,32.0,361.0,43.0
2018-02-28,109,0.05,58.1,27.3,198.0,92.0
2018-03-01,109,0.05,59.5,42.2,179.0,89.0
2018-03-02,109,0.03,50.5,31.4,181.0,95.0
2018-03-03,109,0.04,51.7,30.5,243.0,96.0
2018-03-04,109,0.09,57.2,28.9,383.0,82.0
