date,station_id,eto,tx,tn,rs,rh
2004-01-01,77,0.02,56.3,35.9,75.0,87.0
2004-01-02,77,0.02,53.0,31.6,101.0,96.0
2004-01-03,77,0.05,54.0,29.9,233.0,84.0
2004-01-04,77,0.04,54.8,28.1,208.0,86.0
2004-01-05,77,0.06,60.4,31.7,231.0,68.0
2004-01-06,77,0.03,55.1,43.6,90.0,61.0
2004-01-07,77,0.02,55.7,43.2,89.0,92.0
2004-01-08,77,0.01,60.5,45.8,68.0,96.0
2004-01-09,77,0.0,55.5,42.8,52.0,100.0
2004-01-10,77,0.03,64.2,50.7,142.0,91.0
2004-01-11,77,0.05,69.8,44.5,204.0,86.0
2004-01-12,77,0.02,60.5,42.4,117.0,96.0
2004-01-13,77,0.05,66.5,41.1,217.0,90.0
2004-01-14,77,0.01,54.7,42.3,73.0,98.0
2004-01-15,77,0.05,64.2,49.7,208.0,93.0
2004-01-16,77,0.02,56.6,49.6,92.0,87.0
2004-01-17,77,0.03,56.4,46.8,122.0,85.0
2004-01-18,77,0.04,58.3,43.9,173.0,87.0
2004-01-19,77,0.01,54.7,46.5,71.0,92.0
2004-01-20,77,0.06,64.0,41.7,248.0,82.0
2004-01-21,77,0.08,66.9,36.9,262.0,52.0
2004-01-22,77,0.06,61.7,30.0,265.0,82.0
2004-01-23,77,0.05,58.2,31.7,221.0,87.0
2004-01-24,77,0.02,56.1,40.9,101.0,95.0
2004-01-25,77,0.06,58.9,34.1,244.0,75.0
2004-01-26,77,0.02,52.4,39.1,92.0,86.0
2004-01-27,77,0.02,59.3,41.3,105.0,95.0
2004-01-28,77,0.04,59.1,34.6,198.0,92.0
2004-01-29,77,0.01,54.9,39.6,95.0,96.0
2004-01-30,77,0.04,59.3,41.1,155.0,83.0
2004-01-31,77,0.07,60.4,33.1,286.0,70.0
2004-02-01,77,0.01,49.7,39.5,63.0,93.0
2004-02-02,77,0.02,54.7,43.7,86.0,92.0
2004-02-03,77,0.03,60.2,44.3,155.0,90.0
