date,station_id,eto,tx,tn,rs,rh
1995-01-01,77,0.0,48.2,42.1,40.0,95.0
1995-01-02,77,0.03,53.5,42.3,96.0,80.0
1995-01-03,77,0.01,53.3,42.1,71.0,99.0
1995-01-04,77,0.0,49.5,42.6,29.0,95.0
1995-01-05,77,0.04,57.0,43.4,178.0,87.0
1995-01-06,77,0.0,51.3,43.3,32.0,95.0
1995-01-07,77,0.02,58.1,49.5,78.0,88.0
1995-01-08,77,0.0,57.3,52.0,14.0,95.0
1995-01-09,77,0.0,60.7,53.9,20.0,95.0
1995-01-10,77,0.03,60.8,52.2,91.0,83.0
1995-01-11,77,0.03,59.2,49.3,120.0,87.0
1995-01-12,77,0.02,60.9,51.2,88.0,95.0
1995-01-13,77,0.01,59.9,52.5,57.0,93.0
1995-01-14,77,0.01,58.2,48.1,65.0,88.0
1995-01-15,77,0.05,55.1,41.4,205.0,86.0
1995-01-16,77,0.04,52.7,34.9,197.0,90.0
1995-01-17,77,0.03,52.0,31.4,171.0,91.0
1995-01-18,77,0.04,57.4,36.8,181.0,87.0
1995-01-19,77,0.05,61.1,38.5,218.0,79.0
1995-01-20,77,0.0,49.5,38.1,49.0,95.0
1995-01-21,77,0.01,51.8,45.5,83.0,97.0
1995-01-22,77,0.0,51.8,47.6,40.0,97.0
1995-01-23,77,0.02,57.8,49.5,108.0,94.0
1995-01-24,77,0.01,56.3,44.6,85.0,96.0
1995-01-25,77,0.03,59.7,32.0,107.0,91.0
1995-01-26,77,0.0,53.9,43.5,49.0,98.0
1995-01-27,77,0.0,53.1,50.5,58.0,100.0
1995-01-28,77,0.01,60.6,52.6,80.0,98.0
1995-01-29,77,0.03,63.0,51.3,152.0,94.0
1995-01-30,77,0.01,59.4,53.4,59.0,100.0
1995-01-31,77,0.05,68.9,32.0,311.0,90.0
1995-02-01,77,0.06,74.0,50.0,236.0,93.0
1995-02-02,77,0.08,75.2,47.9,290.0,82.0
1995-02-03,77,0.08,70.9,46.1,286.0,83.0
1995-02-04,77,0.07,61.5,40.6,293.0,97.0
1995-02-05,77,0.02,54.8,47.7,110.0,98.0
1995-02-06,77,0.02,55.7,45.2,115.0,92.0
1995-02-07,77,0.03,57.4,44.1,167.0,94.0
1995-02-08,77,0.03,59.4,41.4,157.0,93.0
1995-02-09,77,0.08,65.2,35.3,327.0,89.0
1995-02-10,77,0.04,58.7,40.8,215.0,99.0
1995-02-11,77,0.01,52.0,47.3,66.0,95.0
1995-02-12,77,0.05,57.0,45.6,183.0,80.0
1995-02-13,77,0.03,52.9,35.2,157.0,91.0
1995-02-14,77,0.08,55.8,29.8,355.0,78.0
1995-02-15,77,0.08,61.9,30.4,363.0,78.0
1995-02-16,77,0.04,58.0,33.5,176.0,86.0
1995-02-17,77,0.08,63.3,33.6,318.0,84.0
1995-02-18,77,0.09,67.8,42.7,357.0,90.0
1995-02-19,77,0.11,77.4,40.4,376.0,83.0
1995-02-20,77,0.11,76.9,43.3,368.0,87.0
