date,station_id,eto,tx,tn,rs,rh
2007-01-01,77,0.06,70.1,31.3,223.0,65.0
2007-01-02,77,0.03,58.8,39.5,139.0,80.0
2007-01-03,77,0.01,54.2,34.2,56.0,100.0
2007-01-04,77,0.04,56.3,33.7,138.0,84.0
2007-01-05,77,0.09,57.6,34.9,230.0,42.0
2007-01-06,77,0.05,60.2,31.4,210.0,78.0
2007-01-07,77,0.05,66.1,36.1,226.0,82.0
2007-01-08,77,0.05,61.1,36.0,225.0,80.0
2007-01-09,77,0.05,65.5,32.2,233.0,89.0
2007-01-10,77,0.05,58.4,32.4,217.0,86.0
2007-01-11,77,0.05,52.6,25.5,244.0,66.0
2007-01-12,77,0.09,46.5,32.8,247.0,30.0
2007-01-13,77,0.07,54.7,26.5,247.0,33.0
2007-01-14,77,0.06,54.3,22.9,249.0,55.0
2007-01-15,77,0.07,57.6,28.7,250.0,49.0
2007-01-16,77,0.05,52.7,22.8,227.0,80.0
2007-01-17,77,0.07,62.9,28.1,249.0,58.0
2007-01-18,77,0.06,60.7,26.0,236.0,75.0
2007-01-19,77,0.05,58.7,29.7,214.0,80.0
2007-01-20,77,0.06,68.2,31.5,232.0,69.0
2007-01-21,77,0.14,65.4,45.7,256.0,23.0
2007-01-22,77,0.09,65.7,34.6,262.0,41.0
2007-01-23,77,0.07,62.9,30.9,259.0,69.0
2007-01-24,77,0.07,66.0,27.5,267.0,66.0
2007-01-25,77,0.06,58.1,26.8,256.0,84.0
2007-01-26,77,0.02,50.7,28.2,129.0,97.0
2007-01-27,77,0.03,58.8,39.4,144.0,91.0
2007-01-28,77,0.03,56.9,36.4,117.0,86.0
2007-01-29,77,0.08,69.5,37.1,259.0,71.0
2007-01-30,77,0.06,60.0,32.4,251.0,88.0
2007-01-31,77,0.06,59.3,38.6,240.0,85.0
2007-02-01,77,0.03,53.1,31.2,152.0,91.0
2007-02-02,77,0.06,60.5,36.3,262.0,79.0
2007-02-03,77,0.06,62.2,32.7,247.0,81.0
2007-02-04,77,0.07,69.6,34.8,256.0,72.0
2007-02-05,77,0.07,71.8,38.2,221.0,63.0
2007-02-06,77,0.06,65.1,39.7,258.0,83.0
2007-02-07,77,0.0,56.2,47.9,53.0,95.0
2007-02-08,77,0.0,56.5,45.4,39.0,98.0
2007-02-09,77,0.0,57.1,55.0,36.0,98.0
2007-02-10,77,0.01,59.3,54.8,79.0,97.0
2007-02-11,77,0.07,61.4,42.6,259.0,82.0
2007-02-12,77,0.01,55.1,38.1,86.0,99.0
2007-02-13,77,0.07,60.8,37.9,290.0,85.0
2007-02-14,77,0.08,64.5,35.6,291.0,82.0
2007-02-15,77,0.08,71.1,42.5,304.0,86.0
2007-02-16,77,0.11,78.9,39.8,332.0,63.0
2007-02-17,77,0.13,76.9,44.9,329.0,49.0
2007-02-18,77,0.09,66.5,37.4,333.0,74.0
2007-02-19,77,0.13,67.8,38.8,353.0,49.0
2007-02-20,77,0.06,59.2,35.1,233.0,83.0
2007-02-21,77,0.02,54.1,47.8,101.0,91.0
2007-02-22,77,0.05,53.0,37.2,227.0,88.0
2007-02-23,77,0.08,55.9,33.3,333.0,75.0
2007-02-24,77,0.02,52.7,39.7,106.0,93.0
2007-02-25,77,0.06,55.1,41.1,203.0,80.0
2007-02-26,77,0.02,52.7,38.0,127.0,90.0
2007-02-27,77,0.02,48.2,31.1,138.0,95.0
2007-02-28,77,0.08,54.1,29.1,354.0,81.0
2007-03-01,77,0.05,55.9,32.5,209.0,85.0
2007-03-02,77,0.11,67.0,33.1,390.0,76.0
2007-03-03,77,0.12,69.2,39.9,383.0,68.0
2007-03-04,77,0.09,69.7,43.6,300.0,72.0
2007-03-05,77,0.11,71.3,43.3,358.0,69.0
2007-03-06,77,0.12,72.1,37.8,383.0,72.0
2007-03-07,77,0.09,62.6,45.2,338.0,87.0
2007-03-08,77,0.11,64.7,36.6,385.0,79.0
2007-03-09,77,0.07,63.7,40.5,276.0,81.0
2007-03-10,77,0.12,75.4,39.7,406.0,78.0
2007-03-11,77,0.13,78.6,43.9,418.0,80.0
2007-03-12,77,0.14,80.6,49.4,414.0,78.0
2007-03-13,77,0.14,80.2,48.4,422.0,77.0
2007-03-14,77,0.12,70.8,44.2,405.0,84.0
2007-03-15,77,0.14,79.4,40.1,445.0,74.0
2007-03-16,77,0.15,82.8,43.2,444.0,69.0
2007-03-17,77,0.13,70.5,44.1,444.0,86.0
2007-03-18,77,0.12,70.9,42.5,412.0,86.0
2007-03-19,77,0.11,69.2,45.1,374.0,83.0
2007-03-20,77,0.07,66.5,46.7,269.0,77.0
2007-03-21,77,0.18,70.6,42.8,472.0,42.0
2007-03-22,77,0.19,78.6,47.2,456.0,30.0
2007-03-23,77,0.16,77.8,40.4,462.0,68.0
2007-03-24,77,0.13,66.1,43.3,439.0,87.0
2007-03-25,77,0.11,67.9,48.8,372.0,83.0
2007-03-26,77,0.04,58.0,41.7,168.0,90.0
2007-03-27,77,0.15,61.2,35.2,489.0,67.0
2007-03-28,77,0.18,70.3,34.2,511.0,40.0
2007-03-29,77,0.19,78.3,39.2,507.0,40.0
2007-03-30,77,0.16,75.7,37.6,460.0,63.0
2007-03-31,77,0.16,78.4,39.6,482.0,71.0
2007-04-01,77,0.14,74.6,40.3,455.0,72.0
2007-04-02,77,0.16,74.6,39.9,500.0,65.0
2007-04-03,77,0.17,77.5,39.5,504.0,58.0
2007-04-04,77,0.14,77.0,43.0,426.0,62.0
2007-04-05,77,0.14,79.5,48.1,424.0,68.0
2007-04-06,77,0.13,73.2,43.2,433.0,84.0
2007-04-07,77,0.11,67.8,46.1,363.0,82.0
2007-04-08,77,0.16,73.8,42.4,498.0,67.0
2007-04-09,77,0.18,71.7,44.8,535.0,60.0
2007-04-10,77,0.19,73.4,39.9,518.0,46.0
2007-04-11,77,0.1,62.7,48.7,342.0,69.0
2007-04-12,77,0.19,69.0,36.4,561.0,48.0
2007-04-13,77,0.18,72.9,38.5,521.0,60.0
2007-04-14,77,0.08,63.8,43.6,309.0,80.0
2007-04-15,77,0.22,73.9,37.8,550.0,41.0
2007-04-16,77,0.24,82.8,49.6,561.0,35.0
2007-04-17,77,0.17,64.8,40.0,496.0,61.0
2007-04-18,77,0.12,61.7,36.7,401.0,59.0
2007-04-19,77,0.08,57.8,35.2,288.0,79.0
2007-04-20,77,0.16,66.4,42.3,522.0,71.0
2007-04-21,77,0.03,56.7,38.3,162.0,91.0
2007-04-22,77,0.12,63.3,43.4,447.0,82.0
2007-04-23,77,0.19,73.7,38.7,582.0,67.0
2007-04-24,77,0.19,77.5,39.8,574.0,72.0
2007-04-25,77,0.15,72.9,41.3,464.0,69.0
2007-04-26,77,0.2,80.8,45.2,577.0,63.0
2007-04-27,77,0.21,87.1,46.9,564.0,59.0
2007-04-28,77,0.22,87.6,50.2,571.0,58.0
