date,station_id,eto,tx,tn,rs,rh
2003-01-01,109,0.04,57.2,35.5,202.0,88.0
2003-01-02,109,0.02,57.4,38.7,97.0,85.0
2003-01-03,109,0.04,60.1,38.2,192.0,84.0
2003-01-04,109,0.04,60.5,42.1,192.0,88.0
2003-01-05,109,0.04,63.9,43.0,160.0,87.0
2003-01-06,109,0.07,64.0,38.8,248.0,68.0
2003-01-07,109,0.05,60.4,36.5,239.0,88.0
2003-01-08,109,0.02,50.0,37.5,124.0,93.0
2003-01-09,109,0.0,49.6,42.3,34.0,94.0
2003-01-10,109,0.01,57.9,49.1,70.0,94.0
2003-01-11,109,0.01,57.0,50.7,80.0,94.0
2003-01-12,109,0.01,59.3,51.6,78.0,91.0
2003-01-13,109,0.02,63.2,32.0,142.0,91.0
2003-01-14,109,0.03,64.0,48.9,127.0,92.0
2003-01-15,109,0.04,63.3,41.1,199.0,89.0
2003-01-16,109,0.06,61.0,35.3,265.0,90.0
2003-01-17,109,0.05,56.3,34.9,234.0,94.0
2003-01-18,109,0.02,54.4,43.6,134.0,93.0
2003-01-19,109,0.02,50.5,43.2,128.0,93.0
2003-01-20,109,0.0,47.9,42.2,53.0,92.0
2003-01-21,109,0.01,50.9,45.6,70.0,93.0
2003-01-22,109,0.0,57.5,49.4,43.0,94.0
2003-01-23,109,0.01,61.3,54.9,79.0,95.0
2003-01-24,109,0.02,58.9,52.8,112.0,92.0
2003-01-25,109,0.05,66.5,52.9,189.0,87.0
2003-01-26,109,0.04,62.3,53.6,154.0,87.0
2003-01-27,109,0.04,65.8,47.2,176.0,91.0
2003-01-28,109,0.07,66.0,42.3,272.0,88.0
2003-01-29,109,0.06,63.0,40.2,265.0,89.0
2003-01-30,109,0.05,61.7,44.7,217.0,91.0
2003-01-31,109,0.02,55.5,44.1,108.0,95.0
2003-02-01,109,0.09,63.2,39.0,286.0,76.0
2003-02-02,109,0.1,66.3,34.9,316.0,62.0
2003-02-03,109,0.08,63.8,33.6,317.0,77.0
2003-02-04,109,0.1,67.3,31.1,323.0,55.0
2003-02-05,109,0.1,64.2,33.4,335.0,41.0
2003-02-06,109,0.1,62.4,29.9,332.0,57.0
2003-02-07,109,0.13,62.3,30.6,331.0,36.0
2003-02-08,109,0.08,59.8,26.1,347.0,59.0
2003-02-09,109,0.09,61.6,27.4,345.0,68.0
2003-02-10,109,0.09,62.9,28.8,314.0,72.0
2003-02-11,109,0.04,60.4,34.6,165.0,77.0
2003-02-12,109,0.02,55.6,37.7,96.0,93.0
2003-02-13,109,0.03,60.0,49.9,129.0,93.0
2003-02-14,109,0.04,60.3,46.3,147.0,85.0
2003-02-15,109,0.03,59.5,46.9,131.0,87.0
2003-02-16,109,0.06,59.7,40.9,245.0,88.0
2003-02-17,109,0.06,59.3,37.6,261.0,84.0
2003-02-18,109,0.09,61.5,33.8,348.0,84.0
2003-02-19,109,0.09,59.3,41.1,306.0,77.0
2003-02-20,109,0.11,68.4,34.7,377.0,74.0
2003-02-21,109,0.1,65.7,37.7,379.0,79.0
2003-02-22,109,0.1,66.8,37.8,386.0,83.0
