date,station_id,eto,tx,tn,rs,rh
1994-01-01,77,0.0,51.3,38.3,55.0,100.0
1994-01-02,77,0.03,60.4,40.7,208.0,94.0
1994-01-03,77,0.01,53.9,40.2,116.0,98.0
1994-01-04,77,-0.01,49.2,42.8,50.0,99.0
1994-01-05,77,0.03,57.6,35.6,195.0,89.0
1994-01-06,77,0.05,64.0,32.0,182.0,64.0
1994-01-07,77,0.03,57.5,30.5,174.0,83.0
1994-01-08,77,0.0,49.5,36.9,72.0,97.0
1994-01-09,77,0.02,56.6,39.4,209.0,94.0
1994-01-10,77,0.04,58.9,32.8,236.0,86.0
1994-01-11,77,0.04,64.4,32.2,250.0,86.0
1994-01-12,77,0.04,61.6,31.1,248.0,89.0
1994-01-13,77,0.05,73.4,31.6,247.0,77.0
1994-01-14,77,0.03,56.7,34.9,163.0,87.0
1994-01-15,77,0.05,65.2,37.0,252.0,87.0
1994-01-16,77,0.05,63.9,33.0,253.0,86.0
1994-01-17,77,0.06,70.3,33.0,264.0,81.0
1994-01-18,77,0.05,70.8,35.8,266.0,82.0
1994-01-19,77,0.05,70.0,34.2,272.0,81.0
1994-01-20,77,0.04,59.2,33.6,236.0,91.0
1994-01-21,77,0.02,65.1,41.8,127.0,89.0
1994-01-22,77,0.03,61.5,42.5,150.0,90.0
1994-01-23,77,0.03,58.8,50.1,136.0,85.0
1994-01-24,77,0.03,55.2,40.8,164.0,92.0
1994-01-25,77,0.0,50.7,42.5,77.0,98.0
1994-01-26,77,0.03,54.9,41.3,182.0,85.0
1994-01-27,77,0.1,60.2,37.7,296.0,53.0
1994-01-28,77,0.09,59.0,38.4,296.0,51.0
1994-01-29,77,0.07,64.1,35.6,300.0,70.0
1994-01-30,77,0.08,61.5,30.6,294.0,68.0
1994-01-31,77,0.11,62.3,36.8,306.0,37.0
1994-02-01,77,0.07,60.8,35.4,213.0,56.0
1994-02-02,77,0.05,59.5,34.6,199.0,65.0
1994-02-03,77,0.07,62.2,38.2,287.0,64.0
1994-02-04,77,0.07,62.2,32.0,310.0,73.0
1994-02-05,77,0.03,57.5,34.1,172.0,86.0
1994-02-06,77,0.0,52.2,47.1,52.0,96.0
1994-02-07,77,0.02,58.0,46.0,144.0,87.0
1994-02-08,77,0.08,62.2,36.3,332.0,70.0
1994-02-09,77,0.07,60.0,32.3,328.0,88.0
1994-02-10,77,0.05,58.3,37.0,207.0,80.0
1994-02-11,77,0.1,58.5,32.0,355.0,54.0
1994-02-12,77,0.08,59.8,31.7,359.0,64.0
1994-02-13,77,0.07,62.2,31.0,341.0,73.0
1994-02-14,77,0.08,62.3,29.4,355.0,77.0
1994-02-15,77,0.05,58.9,36.7,224.0,85.0
1994-02-16,77,0.04,62.3,41.4,126.0,79.0
1994-02-17,77,0.04,52.4,40.4,172.0,84.0
1994-02-18,77,0.06,53.2,34.1,292.0,86.0
1994-02-19,77,-0.01,44.3,31.8,42.0,98.0
1994-02-20,77,0.06,56.5,36.5,292.0,87.0
1994-02-21,77,0.06,56.7,36.3,266.0,90.0
1994-02-22,77,0.09,61.7,32.6,391.0,73.0
1994-02-23,77,0.09,63.5,32.7,373.0,77.0
1994-02-24,77,0.09,66.1,35.0,393.0,80.0
1994-02-25,77,0.04,56.8,36.1,223.0,94.0
1994-02-26,77,0.01,55.4,48.3,91.0,95.0
1994-02-27,77,0.03,63.2,45.9,160.0,90.0
1994-02-28,77,0.11,75.5,42.8,399.0,76.0
1994-03-01,77,0.1,74.2,41.1,389.0,83.0
1994-03-02,77,0.11,76.8,45.7,406.0,80.0
1994-03-03,77,0.1,74.4,43.5,360.0,76.0
1994-03-04,77,0.08,68.0,46.1,291.0,90.0
1994-03-05,77,0.04,62.4,50.6,204.0,86.0
1994-03-06,77,0.14,72.5,43.4,432.0,61.0
1994-03-07,77,0.14,81.0,40.0,463.0,51.0
1994-03-08,77,0.11,69.9,37.4,439.0,83.0
1994-03-09,77,0.06,64.6,42.4,255.0,89.0
1994-03-10,77,0.08,64.2,42.7,313.0,85.0
1994-03-11,77,0.16,70.9,38.7,451.0,47.0
1994-03-12,77,0.18,77.7,44.2,491.0,32.0
1994-03-13,77,0.14,78.8,37.6,464.0,58.0
1994-03-14,77,0.14,77.6,39.5,447.0,61.0
1994-03-15,77,0.11,66.5,36.8,357.0,71.0
1994-03-16,77,0.1,64.8,32.0,326.0,71.0
1994-03-17,77,0.13,70.7,35.9,470.0,65.0
1994-03-18,77,0.13,63.6,43.0,472.0,76.0
1994-03-19,77,0.12,65.0,36.6,482.0,66.0
1994-03-20,77,0.15,68.7,33.6,519.0,66.0
1994-03-21,77,0.1,62.0,35.4,320.0,71.0
1994-03-22,77,0.12,55.4,32.6,447.0,62.0
1994-03-23,77,0.09,57.2,30.3,309.0,71.0
1994-03-24,77,0.11,63.1,43.6,316.0,56.0
1994-03-25,77,0.09,62.5,40.1,362.0,81.0
1994-03-26,77,0.13,70.2,36.3,485.0,84.0
1994-03-27,77,0.14,73.5,43.3,484.0,80.0
1994-03-28,77,0.14,70.6,42.1,454.0,68.0
