date,station_id,eto,tx,tn,rs,rh
2000-01-01,109,,54.7,33.3,143.0,87.0
2000-01-02,109,,55.7,24.6,231.0,85.0
2000-01-03,109,,56.8,27.6,231.0,84.0
2000-01-04,109,,53.1,29.5,118.0,100.0
2000-01-05,109,,64.7,30.4,238.0,56.0
2000-01-06,109,,55.9,24.5,179.0,73.0
2000-01-07,109,,57.7,27.8,220.0,84.0
2000-01-08,109,,56.6,36.2,154.0,100.0
2000-01-09,109,,59.8,41.7,150.0,92.0
2000-01-10,109,,58.4,46.5,124.0,100.0
2000-01-11,109,,54.4,41.7,57.0,100.0
2000-01-12,109,,53.4,37.4,118.0,90.0
2000-01-13,109,,56.8,40.7,110.0,96.0
2000-01-14,109,,59.3,41.8,120.0,96.0
2000-01-15,109,,59.7,48.8,73.0,90.0
2000-01-16,109,,59.4,38.7,261.0,84.0
2000-01-17,109,,54.7,37.7,117.0,93.0
2000-01-18,109,,57.9,48.9,80.0,100.0
2000-01-19,109,,59.3,47.7,83.0,100.0
2000-01-20,109,,57.9,40.7,192.0,95.0
2000-01-21,109,,57.5,41.7,119.0,98.0
2000-01-22,109,,59.6,41.0,207.0,95.0
2000-01-23,109,,54.4,50.1,27.0,100.0
2000-01-24,109,,54.2,51.5,41.0,100.0
2000-01-25,109,,58.5,43.1,133.0,99.0
2000-01-26,109,,58.7,33.6,265.0,95.0
2000-01-27,109,,61.1,34.5,291.0,89.0
2000-01-28,109,,59.6,29.8,227.0,80.0
2000-01-29,109,,59.9,35.6,279.0,79.0
2000-01-30,109,,57.6,43.0,96.0,93.0
2000-01-31,109,,51.2,44.4,78.0,100.0
2000-02-01,109,,61.6,45.2,200.0,93.0
2000-02-02,109,,64.1,38.6,301.0,92.0
2000-02-03,109,,57.5,44.9,65.0,94.0
2000-02-04,109,,57.3,45.0,142.0,93.0
2000-02-05,109,,58.5,42.1,109.0,98.0
2000-02-06,109,,64.4,40.6,289.0,91.0
2000-02-07,109,,64.3,39.4,209.0,95.0
2000-02-08,109,,64.3,38.7,231.0,98.0
2000-02-09,109,,59.2,49.5,145.0,99.0
2000-02-10,109,,56.9,42.7,120.0,98.0
2000-02-11,109,,53.1,43.5,34.0,100.0
2000-02-12,109,,55.1,42.9,109.0,100.0
2000-02-13,109,,57.7,49.6,42.0,100.0
2000-02-14,109,,59.2,49.4,187.0,91.0
2000-02-15,109,,61.1,40.0,273.0,89.0
2000-02-16,109,,53.2,38.2,103.0,98.0
2000-02-17,109,,57.3,34.7,266.0,97.0
2000-02-18,109,,62.4,34.3,371.0,89.0
2000-02-19,109,,64.9,35.5,280.0,79.0
2000-02-20,109,,62.9,49.6,68.0,88.0
2000-02-21,109,,62.6,43.9,316.0,81.0
2000-02-22,109,,55.6,43.9,43.0,94.0
2000-02-23,109,,54.8,35.8,291.0,92.0
2000-02-24,109,,50.4,30.6,171.0,99.0
2000-02-25,109,,57.9,44.4,239.0,89.0
2000-02-26,109,,57.1,51.8,59.0,95.0
2000-02-27,109,,57.7,43.7,298.0,92.0
2000-02-28,109,,57.7,36.1,290.0,87.0
2000-02-29,109,,59.2,41.1,299.0,90.0
2000-03-01,109,,61.5,35.1,398.0,87.0
2000-03-02,109,,57.3,43.3,231.0,96.0
2000-03-03,109,,63.5,37.1,412.0,90.0
2000-03-04,109,,57.6,36.9,170.0,100.0
2000-03-05,109,,50.2,45.7,135.0,98.0
2000-03-06,109,,54.0,36.6,182.0,94.0
2000-03-07,109,,53.3,36.5,118.0,92.0
2000-03-08,109,,52.3,34.7,154.0,98.0
2000-03-09,109,,59.2,38.3,271.0,92.0
2000-03-10,109,,60.6,35.4,309.0,89.0
2000-03-11,109,,65.0,43.5,368.0,90.0
2000-03-12,109,,67.3,37.6,456.0,87.0
2000-03-13,109,,67.9,38.2,469.0,83.0
2000-03-14,109,,72.1,45.7,429.0,90.0
2000-03-15,109,,75.5,37.8,481.0,75.0
2000-03-16,109,,68.2,41.7,475.0,70.0
2000-03-17,109,,71.3,33.3,493.0,75.0
2000-03-18,109,,73.5,40.4,489.0,74.0
2000-03-19,109,,66.1,40.4,463.0,68.0
2000-03-20,109,,66.5,47.7,523.0,29.0
2000-03-21,109,,76.9,42.8,525.0,29.0
2000-03-22,109,,68.0,49.6,,77.0
2000-03-23,109,,60.6,36.3,374.0,91.0
2000-03-24,109,,60.4,33.5,555.0,88.0
