date,station_id,eto,tx,tn,rs,rh
2015-01-01,109,0.05,51.9,28.7,221.0,73.0
2015-01-02,109,0.04,52.5,26.6,218.0,80.0
2015-01-03,109,0.05,54.5,28.1,218.0,82.0
2015-01-04,109,0.04,57.7,30.7,167.0,82.0
2015-01-05,109,0.04,56.1,30.4,180.0,85.0
2015-01-06,109,0.06,63.5,33.4,225.0,83.0
2015-01-07,109,0.06,67.4,33.5,231.0,83.0
2015-01-08,109,0.03,61.2,36.4,146.0,90.0
2015-01-09,109,0.04,64.1,42.1,166.0,85.0
2015-01-10,109,0.04,62.4,36.1,186.0,91.0
2015-01-11,109,0.01,50.7,39.3,88.0,99.0
2015-01-12,109,0.04,63.2,37.3,204.0,91.0
2015-01-13,109,0.06,66.1,35.9,241.0,83.0
2015-01-14,109,0.05,59.6,32.5,213.0,90.0
2015-01-15,109,0.03,55.7,34.5,136.0,93.0
2015-01-16,109,0.02,56.6,38.9,91.0,94.0
2015-01-17,109,0.04,59.3,49.3,198.0,91.0
2015-01-18,109,0.02,63.1,51.4,116.0,95.0
2015-01-19,109,0.04,62.1,42.1,183.0,92.0
2015-01-20,109,0.04,59.1,39.1,186.0,91.0
2015-01-21,109,0.06,59.6,34.1,245.0,88.0
2015-01-22,109,0.05,56.9,32.0,345.0,85.0
2015-01-23,109,0.06,61.5,34.1,253.0,86.0
2015-01-24,109,0.06,59.5,37.5,249.0,89.0
2015-01-25,109,0.06,62.4,38.2,250.0,88.0
2015-01-26,109,0.05,65.4,34.9,224.0,87.0
2015-01-27,109,0.02,63.8,46.8,104.0,84.0
2015-01-28,109,0.07,67.5,42.6,260.0,84.0
2015-01-29,109,0.07,66.3,37.9,267.0,83.0
2015-01-30,109,0.05,64.8,36.5,223.0,93.0
2015-01-31,109,0.08,78.6,38.7,295.0,45.0
2015-02-01,109,0.06,65.3,36.1,231.0,81.0
2015-02-02,109,0.05,65.5,39.0,209.0,84.0
2015-02-03,109,0.06,68.4,43.8,238.0,84.0
2015-02-04,109,0.05,64.1,40.3,223.0,92.0
2015-02-05,109,0.04,62.0,45.4,150.0,86.0
2015-02-06,109,0.01,62.0,57.1,24.0,87.0
2015-02-07,109,0.05,66.5,50.2,219.0,90.0
2015-02-08,109,0.03,64.8,53.8,109.0,91.0
2015-02-09,109,0.06,65.8,44.0,233.0,85.0
2015-02-10,109,0.07,64.4,38.1,282.0,83.0
2015-02-11,109,0.07,65.5,37.6,268.0,83.0
2015-02-12,109,0.09,71.7,38.3,314.0,82.0
2015-02-13,109,0.09,72.2,41.3,324.0,83.0
2015-02-14,109,0.09,74.4,43.3,337.0,80.0
2015-02-15,109,0.1,72.9,40.6,331.0,80.0
