date,station_id,eto,tx,tn,rs,rh
2006-01-01,77,0.0,54.2,43.7,32.0,95.0
2006-01-02,77,0.0,53.0,42.6,37.0,98.0
2006-01-03,77,0.0,53.0,40.0,52.0,98.0
2006-01-04,77,0.05,64.8,48.3,199.0,90.0
2006-01-05,77,0.05,66.6,47.9,202.0,80.0
2006-01-06,77,0.05,65.3,41.1,227.0,88.0
2006-01-07,77,0.03,60.4,45.4,128.0,93.0
2006-01-08,77,0.05,60.9,38.4,224.0,84.0
2006-01-09,77,0.05,61.5,34.2,239.0,86.0
2006-01-10,77,0.04,58.8,35.8,196.0,92.0
2006-01-11,77,0.02,62.5,41.9,123.0,94.0
2006-01-12,77,0.05,61.1,38.7,210.0,91.0
2006-01-13,77,0.03,59.8,45.1,154.0,85.0
2006-01-14,77,0.03,55.2,43.2,145.0,86.0
2006-01-15,77,0.06,58.3,34.2,260.0,77.0
2006-01-16,77,0.03,54.8,35.8,135.0,84.0
2006-01-17,77,0.04,55.9,42.2,154.0,89.0
2006-01-18,77,0.03,55.3,37.7,149.0,92.0
2006-01-19,77,0.06,59.4,34.0,260.0,86.0
2006-01-20,77,0.05,56.1,31.9,250.0,88.0
2006-01-21,77,0.03,57.1,44.3,134.0,92.0
2006-01-22,77,0.09,63.2,38.5,278.0,49.0
2006-01-23,77,0.12,72.6,43.6,278.0,36.0
2006-01-24,77,0.07,66.6,38.3,277.0,76.0
2006-01-25,77,0.04,57.1,34.1,175.0,89.0
2006-01-26,77,0.06,55.8,35.1,228.0,81.0
2006-01-27,77,0.03,57.8,38.4,140.0,92.0
2006-01-28,77,0.02,54.0,44.1,94.0,97.0
2006-01-29,77,0.05,58.6,46.1,203.0,86.0
2006-01-30,77,0.02,60.4,40.6,83.0,91.0
2006-01-31,77,0.03,55.6,35.1,169.0,87.0
2006-02-01,77,0.01,56.2,45.7,86.0,98.0
2006-02-02,77,0.02,62.7,51.1,109.0,95.0
2006-02-03,77,0.07,63.6,47.1,291.0,90.0
2006-02-04,77,0.08,61.1,40.4,301.0,79.0
