date,station_id,eto,tx,tn,rs,rh
2017-01-01,109,0.04,56.1,32.6,204.0,83.0
2017-01-02,109,0.03,52.4,35.9,148.0,91.0
2017-01-03,109,0.0,54.2,42.3,36.0,100.0
2017-01-04,109,0.01,54.8,43.6,71.0,99.0
2017-01-05,109,0.05,51.3,28.9,227.0,88.0
2017-01-06,109,0.04,49.7,25.8,183.0,80.0
2017-01-07,109,0.0,56.7,42.3,45.0,99.0
2017-01-08,109,0.0,58.7,54.4,16.0,100.0
2017-01-09,109,0.02,57.0,46.0,105.0,99.0
2017-01-10,109,0.0,57.9,48.7,16.0,100.0
2017-01-11,109,0.04,55.6,43.8,172.0,94.0
2017-01-12,109,0.02,52.3,36.7,116.0,95.0
2017-01-13,109,0.04,54.4,31.7,207.0,98.0
2017-01-14,109,0.05,55.9,32.0,230.0,92.0
2017-01-15,109,0.04,51.5,32.7,195.0,97.0
2017-01-16,109,0.04,52.6,31.0,221.0,94.0
2017-01-17,109,0.04,52.2,31.2,178.0,95.0
2017-01-18,109,0.0,51.6,43.6,15.0,99.0
2017-01-19,109,0.03,57.1,45.2,153.0,95.0
2017-01-20,109,0.03,55.0,44.2,130.0,93.0
2017-01-21,109,0.04,56.3,42.5,155.0,92.0
2017-01-22,109,0.04,56.9,41.0,168.0,95.0
2017-01-23,109,0.03,52.2,37.6,157.0,97.0
2017-01-24,109,0.06,57.0,35.2,244.0,88.0
2017-01-25,109,0.05,54.1,31.5,231.0,95.0
2017-01-26,109,0.06,56.9,34.8,250.0,91.0
2017-01-27,109,0.07,58.7,35.2,263.0,75.0
2017-01-28,109,0.07,61.3,31.1,260.0,82.0
2017-01-29,109,0.06,59.8,30.5,243.0,87.0
2017-01-30,109,0.06,60.9,31.8,250.0,89.0
2017-01-31,109,0.05,60.9,31.4,220.0,89.0
2017-02-01,109,0.01,56.4,38.5,69.0,93.0
2017-02-02,109,0.01,59.0,45.9,77.0,97.0
2017-02-03,109,0.02,59.2,53.3,130.0,98.0
2017-02-04,109,0.03,59.2,47.3,161.0,100.0
2017-02-05,109,0.02,58.3,47.7,121.0,99.0
2017-02-06,109,0.02,59.1,53.1,111.0,100.0
2017-02-07,109,0.02,61.6,54.7,119.0,100.0
2017-02-08,109,0.0,61.3,55.7,40.0,
2017-02-09,109,0.0,60.0,55.0,29.0,100.0
2017-02-10,109,0.06,64.0,45.0,247.0,96.0
2017-02-11,109,0.08,65.0,37.5,305.0,82.0
2017-02-12,109,0.08,64.5,38.0,306.0,71.0
2017-02-13,109,0.06,63.2,38.6,265.0,87.0
2017-02-14,109,0.08,66.6,39.6,296.0,85.0
2017-02-15,109,0.03,62.9,48.0,143.0,91.0
2017-02-16,109,0.07,64.9,46.3,267.0,86.0
2017-02-17,109,0.0,55.2,49.3,42.0,96.0
2017-02-18,109,0.06,61.0,46.6,258.0,88.0
2017-02-19,109,0.01,54.9,46.8,69.0,96.0
2017-02-20,109,0.0,57.5,52.1,37.0,99.0
2017-02-21,109,0.04,58.5,41.2,185.0,92.0
2017-02-22,109,0.08,57.7,34.8,328.0,84.0
2017-02-23,109,0.08,55.7,32.6,335.0,78.0
2017-02-24,109,0.08,54.5,29.2,342.0,84.0
2017-02-25,109,0.07,55.3,33.5,291.0,83.0
2017-02-26,109,0.07,58.0,29.7,307.0,87.0
