date,station_id,eto,tx,tn,rs,rh
2012-01-01,77,0.08,69.7,34.5,245.0,48.0
2012-01-02,77,0.03,62.9,35.6,161.0,84.0
2012-01-03,77,0.05,64.0,33.6,236.0,86.0
2012-01-04,77,0.05,68.0,35.4,226.0,75.0
2012-01-05,77,0.06,65.7,35.5,242.0,77.0
2012-01-06,77,0.05,60.4,29.4,242.0,85.0
2012-01-07,77,0.12,67.3,32.2,243.0,34.0
2012-01-08,77,0.08,67.3,34.9,238.0,36.0
2012-01-09,77,0.06,67.1,27.5,263.0,65.0
2012-01-10,77,0.06,65.6,30.0,252.0,65.0
2012-01-11,77,0.07,71.4,28.0,263.0,62.0
2012-01-12,77,0.07,71.0,31.5,268.0,48.0
2012-01-13,77,0.08,70.7,30.1,269.0,45.0
2012-01-14,77,0.07,67.0,30.6,270.0,55.0
2012-01-15,77,0.05,56.7,26.7,215.0,71.0
2012-01-16,77,0.06,53.2,23.2,279.0,54.0
2012-01-17,77,0.06,53.2,19.5,267.0,67.0
2012-01-18,77,0.04,53.6,25.5,158.0,80.0
2012-01-19,77,0.0,49.3,35.4,36.0,93.0
2012-01-20,77,0.0,57.8,46.7,43.0,95.0
2012-01-21,77,0.06,55.2,36.1,230.0,77.0
2012-01-22,77,0.0,48.7,36.1,49.0,95.0
2012-01-23,77,0.03,55.9,40.9,159.0,88.0
2012-01-24,77,0.04,58.3,38.2,197.0,91.0
2012-01-25,77,0.06,65.3,40.4,241.0,86.0
2012-01-26,77,0.04,67.6,47.0,167.0,91.0
2012-01-27,77,0.1,70.1,39.5,315.0,39.0
2012-01-28,77,0.08,69.7,29.1,309.0,53.0
2012-01-29,77,0.08,66.1,34.4,277.0,68.0
2012-01-30,77,0.05,59.7,38.4,193.0,78.0
2012-01-31,77,0.05,57.7,42.7,229.0,88.0
2012-02-01,77,0.05,63.2,38.9,226.0,86.0
2012-02-02,77,0.1,71.9,37.0,275.0,48.0
2012-02-03,77,0.09,65.0,32.6,317.0,50.0
2012-02-04,77,0.09,67.3,34.3,318.0,57.0
2012-02-05,77,0.08,68.0,36.3,267.0,56.0
2012-02-06,77,0.07,65.3,40.8,206.0,52.0
2012-02-07,77,0.0,52.6,46.6,54.0,95.0
2012-02-08,77,0.08,66.3,40.4,334.0,84.0
2012-02-09,77,0.09,70.4,39.6,330.0,79.0
2012-02-10,77,0.02,56.2,39.5,115.0,95.0
2012-02-11,77,0.07,63.4,42.2,268.0,85.0
2012-02-12,77,0.03,55.1,42.2,143.0,89.0
2012-02-13,77,0.05,56.1,36.9,223.0,81.0
2012-02-14,77,0.08,61.2,34.6,348.0,72.0
2012-02-15,77,0.13,59.6,31.8,377.0,41.0
2012-02-16,77,0.12,69.5,37.9,376.0,42.0
2012-02-17,77,0.09,66.6,34.2,354.0,78.0
2012-02-18,77,0.08,64.4,38.3,303.0,75.0
2012-02-19,77,0.1,59.3,34.8,350.0,63.0
2012-02-20,77,0.06,61.7,41.8,261.0,80.0
2012-02-21,77,0.08,70.5,38.4,306.0,86.0
2012-02-22,77,0.13,80.8,46.3,392.0,54.0
2012-02-23,77,0.19,76.5,46.0,413.0,29.0
2012-02-24,77,0.15,76.4,45.5,414.0,36.0
2012-02-25,77,0.11,63.3,36.1,404.0,54.0
2012-02-26,77,0.1,58.9,30.8,371.0,58.0
2012-02-27,77,0.08,57.8,24.9,321.0,70.0
2012-02-28,77,0.08,55.2,30.0,305.0,73.0
2012-02-29,77,0.04,51.4,37.9,150.0,81.0
2012-03-01,77,0.08,59.2,38.4,298.0,82.0
2012-03-02,77,0.14,68.5,37.9,437.0,41.0
2012-03-03,77,0.13,74.0,33.1,443.0,64.0
2012-03-04,77,0.13,75.6,39.4,447.0,64.0
2012-03-05,77,0.13,73.5,37.8,448.0,71.0
2012-03-06,77,0.15,58.3,40.7,463.0,44.0
2012-03-07,77,0.16,68.2,37.6,473.0,29.0
2012-03-08,77,0.13,70.6,31.2,470.0,56.0
2012-03-09,77,0.15,72.5,35.1,474.0,51.0
2012-03-10,77,0.09,62.8,33.8,339.0,77.0
2012-03-11,77,0.08,59.0,38.7,284.0,73.0
2012-03-12,77,0.08,59.7,31.4,294.0,72.0
2012-03-13,77,0.02,54.6,50.9,127.0,91.0
2012-03-14,77,0.02,57.5,52.6,120.0,93.0
2012-03-15,77,0.03,61.4,53.5,151.0,87.0
2012-03-16,77,0.01,57.4,42.8,82.0,91.0
2012-03-17,77,0.05,53.4,35.1,223.0,84.0
2012-03-18,77,0.12,54.5,33.9,427.0,61.0
2012-03-19,77,0.09,56.8,32.6,347.0,65.0
2012-03-20,77,0.1,62.7,45.1,324.0,70.0
2012-03-21,77,0.08,67.2,46.5,280.0,78.0
2012-03-22,77,0.15,62.2,41.7,487.0,69.0
2012-03-23,77,0.11,59.2,32.4,412.0,69.0
2012-03-24,77,0.02,51.7,40.4,114.0,84.0
2012-03-25,77,0.08,58.6,39.8,326.0,79.0
2012-03-26,77,0.08,57.7,33.3,288.0,73.0
2012-03-27,77,0.02,53.9,47.3,94.0,89.0
2012-03-28,77,0.12,65.1,45.8,404.0,73.0
2012-03-29,77,0.05,60.9,44.9,201.0,84.0
2012-03-30,77,0.04,63.4,52.4,162.0,85.0
2012-03-31,77,0.06,57.8,44.2,220.0,83.0
2012-04-01,77,0.16,62.4,36.9,541.0,61.0
2012-04-02,77,0.15,68.9,39.2,460.0,61.0
2012-04-03,77,0.11,66.9,40.6,376.0,78.0
2012-04-04,77,0.15,61.8,34.8,516.0,59.0
2012-04-05,77,0.13,61.1,33.0,502.0,57.0
2012-04-06,77,0.16,62.5,32.7,580.0,58.0
2012-04-07,77,0.17,67.3,34.6,534.0,54.0
2012-04-08,77,0.16,70.4,35.0,482.0,58.0
2012-04-09,77,0.14,70.5,37.3,450.0,51.0
