date,station_id,eto,tx,tn,rs,rh
1994-01-01,109,0.01,54.4,39.5,103.0,95.0
1994-01-02,109,0.04,56.9,39.3,227.0,90.0
1994-01-03,109,0.02,50.4,44.5,143.0,94.0
1994-01-04,109,0.0,51.1,44.6,68.0,94.0
1994-01-05,109,0.04,58.7,33.1,215.0,83.0
1994-01-06,109,0.05,64.9,28.7,252.0,71.0
1994-01-07,109,0.03,53.9,31.2,177.0,86.0
1994-01-08,109,0.01,50.9,37.4,76.0,94.0
1994-01-09,109,0.02,56.8,36.7,149.0,95.0
1994-01-10,109,0.03,58.6,33.7,231.0,86.0
1994-01-11,109,0.03,59.5,32.2,203.0,91.0
1994-01-12,109,0.04,58.8,28.6,243.0,88.0
1994-01-13,109,0.05,62.4,31.6,242.0,87.0
1994-01-14,109,0.02,56.9,31.9,151.0,90.0
1994-01-15,109,0.05,64.7,36.6,256.0,82.0
1994-01-16,109,0.05,68.2,30.7,259.0,77.0
1994-01-17,109,0.06,68.4,34.6,259.0,79.0
1994-01-18,109,0.06,66.1,33.9,255.0,86.0
1994-01-19,109,0.06,67.4,32.0,267.0,82.0
1994-01-20,109,0.03,58.9,34.0,182.0,94.0
1994-01-21,109,0.04,67.1,39.6,183.0,83.0
1994-01-22,109,0.03,61.7,41.5,138.0,88.0
1994-01-23,109,0.06,62.3,50.9,240.0,83.0
1994-01-24,109,0.03,56.0,41.1,168.0,87.0
1994-01-25,109,0.02,54.8,42.7,103.0,93.0
1994-01-26,109,0.04,57.1,36.9,213.0,87.0
1994-01-27,109,0.09,64.0,35.6,304.0,57.0
1994-01-28,109,0.08,60.7,33.4,294.0,64.0
1994-01-29,109,0.07,64.2,30.2,312.0,77.0
1994-01-30,109,0.05,60.9,31.0,290.0,84.0
1994-01-31,109,0.1,62.7,33.5,314.0,56.0
1994-02-01,109,0.06,59.6,32.9,227.0,68.0
1994-02-02,109,0.03,54.2,30.1,167.0,75.0
1994-02-03,109,0.05,60.6,39.6,196.0,70.0
1994-02-04,109,0.07,62.4,32.8,318.0,73.0
1994-02-05,109,0.04,57.5,32.7,187.0,85.0
1994-02-06,109,0.0,52.8,47.6,54.0,93.0
1994-02-07,109,0.03,59.3,44.7,201.0,86.0
1994-02-08,109,0.08,62.1,37.7,333.0,70.0
1994-02-09,109,0.07,59.8,32.9,312.0,86.0
1994-02-10,109,0.06,51.7,32.0,0.0,71.0
1994-02-11,109,0.1,61.0,30.1,370.0,56.0
1994-02-12,109,0.07,59.6,28.3,370.0,67.0
1994-02-13,109,0.08,61.1,27.3,346.0,74.0
