date,station_id,eto,tx,tn,rs,rh
2019-01-01,109,0.04,67.0,39.1,176.0,99.0
2019-01-02,109,0.05,65.0,37.4,238.0,92.0
2019-01-03,109,0.05,58.8,34.4,213.0,98.0
2019-01-04,109,0.05,63.3,37.4,244.0,98.0
2019-01-05,109,0.05,64.0,32.2,249.0,91.0
2019-01-06,109,0.05,58.9,30.9,250.0,90.0
2019-01-07,109,0.02,56.8,43.7,126.0,96.0
2019-01-08,109,0.0,56.1,49.0,36.0,100.0
2019-01-09,109,0.02,59.3,46.9,121.0,100.0
2019-01-10,109,0.05,60.9,48.9,246.0,100.0
2019-01-11,109,0.01,55.3,49.6,93.0,97.0
2019-01-12,109,0.06,61.9,41.6,251.0,95.0
2019-01-13,109,0.05,61.2,39.7,223.0,89.0
2019-01-14,109,0.02,56.1,39.8,76.0,88.0
2019-01-15,109,0.0,53.5,48.6,56.0,98.0
2019-01-16,109,0.0,58.3,52.7,24.0,100.0
2019-01-17,109,0.03,59.5,47.5,120.0,94.0
2019-01-18,109,0.04,61.3,48.5,175.0,94.0
2019-01-19,109,0.04,65.3,51.9,180.0,94.0
2019-01-20,109,0.03,62.2,42.5,147.0,100.0
2019-01-21,109,0.06,61.2,38.8,303.0,88.0
2019-01-22,109,0.07,62.9,38.6,289.0,66.0
2019-01-23,109,0.07,61.0,32.6,299.0,84.0
2019-01-24,109,0.07,63.4,35.5,305.0,88.0
2019-01-25,109,0.07,64.8,33.4,311.0,88.0
2019-01-26,109,0.05,61.7,35.8,217.0,92.0
2019-01-27,109,0.07,66.3,38.3,281.0,90.0
2019-01-28,109,0.05,65.2,43.6,196.0,92.0
2019-01-29,109,0.06,63.8,47.4,249.0,97.0
2019-01-30,109,0.05,63.4,50.2,215.0,98.0
2019-01-31,109,0.04,63.1,47.4,192.0,99.0
2019-02-01,109,0.02,58.9,47.0,102.0,96.0
2019-02-02,109,0.03,58.6,50.0,164.0,96.0
2019-02-03,109,0.04,56.7,48.4,182.0,97.0
2019-02-04,109,0.03,50.8,36.6,158.0,96.0
2019-02-05,109,0.07,52.6,31.2,362.0,85.0
2019-02-06,109,0.05,53.5,29.6,259.0,86.0
2019-02-07,109,0.06,53.7,30.2,266.0,87.0
2019-02-08,109,0.02,50.4,41.4,103.0,91.0
2019-02-09,109,0.03,53.0,41.4,167.0,98.0
2019-02-10,109,0.07,54.6,32.8,333.0,87.0
2019-02-11,109,0.06,54.5,29.7,263.0,90.0
2019-02-12,109,0.01,47.2,34.4,75.0,90.0
2019-02-13,109,0.0,57.6,43.8,48.0,100.0
2019-02-14,109,0.04,59.3,46.3,181.0,97.0
2019-02-15,109,0.04,52.2,38.7,202.0,93.0
2019-02-16,109,0.07,55.0,36.7,338.0,90.0
2019-02-17,109,0.09,57.7,34.0,439.0,83.0
2019-02-18,109,0.11,58.4,31.6,462.0,64.0
2019-02-19,109,0.11,60.4,29.5,460.0,71.0
2019-02-20,109,0.1,60.6,39.9,425.0,72.0
2019-02-21,109,0.11,58.8,30.2,473.0,57.0
2019-02-22,109,0.11,57.0,30.5,475.0,54.0
2019-02-23,109,0.07,55.8,30.3,300.0,86.0
2019-02-24,109,0.05,57.3,41.8,205.0,91.0
2019-02-25,109,0.01,52.8,43.5,72.0,98.0
2019-02-26,109,0.0,55.0,51.7,44.0,100.0
2019-02-27,109,0.06,61.2,48.8,278.0,97.0
2019-02-28,109,0.11,58.1,40.7,457.0,81.0
2019-03-01,109,0.05,56.7,39.6,240.0,87.0
2019-03-02,109,0.03,55.3,49.5,169.0,98.0
2019-03-03,109,0.06,60.0,50.3,248.0,96.0
