date,station_id,eto,tx,tn,rs,rh
2008-01-01,77,0.0,61.8,35.7,195.0,60.0
2008-01-02,77,0.0,60.7,34.9,192.0,73.0
2008-01-03,77,0.0,52.6,38.1,28.0,95.0
2008-01-04,77,0.0,59.1,48.1,17.0,90.0
2008-01-05,77,0.01,49.8,43.4,51.0,90.0
2008-01-06,77,0.02,50.0,36.2,99.0,95.0
2008-01-07,77,0.04,51.8,35.8,180.0,89.0
2008-01-08,77,0.0,50.0,38.5,34.0,98.0
2008-01-09,77,0.01,50.9,43.8,80.0,97.0
2008-01-10,77,0.0,51.1,45.8,53.0,100.0
2008-01-11,77,0.02,53.1,46.6,100.0,94.0
2008-01-12,77,0.04,62.0,41.9,190.0,91.0
2008-01-13,77,0.05,61.3,40.2,230.0,91.0
2008-01-14,77,0.04,60.7,36.0,170.0,92.0
2008-01-15,77,0.05,57.4,34.1,223.0,87.0
2008-01-16,77,0.14,62.9,41.2,227.0,23.0
2008-01-17,77,0.09,66.8,35.2,237.0,44.0
2008-01-18,77,0.06,62.2,29.6,234.0,85.0
2008-01-19,77,0.06,61.3,29.6,235.0,83.0
2008-01-20,77,0.05,55.2,32.2,217.0,81.0
2008-01-21,77,0.02,46.1,27.1,107.0,98.0
2008-01-22,77,0.01,43.2,39.1,46.0,88.0
2008-01-23,77,0.02,46.8,38.8,95.0,90.0
2008-01-24,77,0.0,43.9,40.0,52.0,96.0
2008-01-25,77,0.0,52.4,41.7,17.0,94.0
2008-01-26,77,0.03,59.3,47.3,130.0,83.0
2008-01-27,77,0.02,55.3,39.7,102.0,92.0
2008-01-28,77,0.06,51.3,32.0,336.0,76.0
2008-01-29,77,0.01,50.0,30.1,79.0,96.0
2008-01-30,77,0.04,53.7,32.4,200.0,86.0
2008-01-31,77,0.0,53.3,38.6,51.0,97.0
2008-02-01,77,0.03,51.6,32.9,169.0,89.0
2008-02-02,77,0.01,53.9,34.4,70.0,99.0
2008-02-03,77,0.06,54.4,37.0,234.0,81.0
