date,station_id,eto,tx,tn,rs,rh
2025-01-01,77,0.01,50.5,36.1,63.0,88.0
2025-01-02,77,0.05,63.7,42.3,211.0,83.0
2025-01-03,77,0.02,56.8,42.3,95.0,90.0
2025-01-04,77,0.03,56.8,36.4,161.0,89.0
2025-01-05,77,0.05,62.7,38.3,230.0,85.0
2025-01-06,77,0.03,60.7,39.0,128.0,90.0
2025-01-07,77,0.15,68.4,54.3,233.0,30.0
2025-01-08,77,0.1,71.9,39.3,252.0,43.0
2025-01-09,77,0.11,77.5,36.5,256.0,30.0
2025-01-10,77,0.08,66.6,40.1,252.0,58.0
2025-01-11,77,0.15,66.7,39.6,268.0,24.0
2025-01-12,77,0.13,66.1,40.2,267.0,32.0
2025-01-13,77,0.1,64.0,34.8,249.0,40.0
2025-01-14,77,0.06,61.0,30.3,260.0,72.0
2025-01-15,77,0.07,66.2,30.7,269.0,71.0
2025-01-16,77,0.07,64.6,32.6,268.0,67.0
2025-01-17,77,0.06,57.2,30.5,270.0,83.0
2025-01-18,77,0.03,54.2,33.4,175.0,93.0
2025-01-19,77,0.02,45.0,29.6,110.0,97.0
2025-01-20,77,0.1,65.5,32.8,293.0,41.0
2025-01-21,77,0.07,62.9,28.8,290.0,60.0
2025-01-22,77,0.07,65.8,28.0,290.0,69.0
2025-01-23,77,0.09,74.9,38.7,293.0,41.0
2025-01-24,77,0.06,64.4,34.2,250.0,68.0
2025-01-25,77,0.07,57.8,30.0,195.0,50.0
2025-01-26,77,0.11,58.4,38.0,293.0,30.0
2025-01-27,77,0.1,65.4,32.9,303.0,37.0
2025-01-28,77,0.07,60.0,27.3,304.0,77.0
2025-01-29,77,0.03,51.8,32.6,153.0,92.0
2025-01-30,77,0.02,50.0,31.0,110.0,92.0
2025-01-31,77,0.0,51.1,37.0,40.0,96.0
2025-02-01,77,0.0,59.5,49.5,56.0,95.0
2025-02-02,77,0.01,60.0,55.3,50.0,90.0
2025-02-03,77,0.03,57.8,52.5,94.0,84.0
2025-02-04,77,0.01,58.2,38.0,48.0,91.0
2025-02-05,77,0.07,56.2,32.1,326.0,81.0
2025-02-06,77,0.01,58.2,35.0,53.0,88.0
2025-02-07,77,0.08,58.9,37.7,328.0,75.0
2025-02-08,77,0.08,59.5,32.6,346.0,70.0
2025-02-09,77,0.09,59.0,29.6,354.0,57.0
2025-02-10,77,0.08,57.4,25.8,349.0,67.0
2025-02-11,77,0.04,50.4,28.0,192.0,77.0
2025-02-12,77,0.06,53.2,33.4,221.0,70.0
2025-02-13,77,0.02,56.2,44.2,88.0,87.0
2025-02-14,77,0.1,58.4,37.2,364.0,70.0
2025-02-15,77,0.07,60.2,34.8,266.0,80.0
2025-02-16,77,0.06,60.9,39.6,229.0,83.0
2025-02-17,77,0.07,60.7,36.2,271.0,80.0
2025-02-18,77,0.08,63.9,38.2,301.0,75.0
2025-02-19,77,0.03,61.7,41.6,157.0,91.0
2025-02-20,77,0.13,70.7,39.0,385.0,54.0
2025-02-21,77,0.11,70.2,38.5,387.0,56.0
2025-02-22,77,0.11,69.4,37.9,358.0,63.0
2025-02-23,77,0.06,66.4,47.3,225.0,76.0
2025-02-24,77,0.02,61.0,44.8,115.0,90.0
2025-02-25,77,0.11,70.8,37.3,413.0,69.0
2025-02-26,77,0.11,75.1,35.8,425.0,68.0
2025-02-27,77,0.12,74.8,42.6,334.0,57.0
2025-02-28,77,0.13,77.9,40.8,419.0,57.0
2025-03-01,77,0.07,65.3,39.2,267.0,81.0
2025-03-02,77,0.11,59.8,39.4,341.0,65.0
2025-03-03,77,0.11,62.3,34.7,424.0,72.0
2025-03-04,77,0.05,60.5,39.6,222.0,83.0
2025-03-05,77,0.07,61.9,41.6,265.0,74.0
2025-03-06,77,0.09,60.0,33.7,377.0,69.0
2025-03-07,77,0.14,67.2,32.6,472.0,54.0
2025-03-08,77,0.13,68.2,32.7,465.0,61.0
2025-03-09,77,0.13,65.1,32.4,470.0,64.0
2025-03-10,77,0.12,69.5,36.4,414.0,57.0
2025-03-11,77,0.13,66.1,35.0,438.0,66.0
2025-03-12,77,0.01,54.3,42.1,73.0,86.0
2025-03-13,77,0.1,57.4,37.7,392.0,73.0
2025-03-14,77,0.06,56.1,40.4,280.0,83.0
2025-03-15,77,0.05,57.0,41.3,204.0,78.0
2025-03-16,77,0.07,57.3,47.3,257.0,84.0
2025-03-17,77,0.07,56.2,39.2,291.0,82.0
2025-03-18,77,0.13,61.5,34.0,484.0,66.0
2025-03-19,77,0.1,60.2,33.8,381.0,75.0
2025-03-20,77,0.13,64.2,38.4,454.0,68.0
2025-03-21,77,0.1,64.6,37.3,347.0,72.0
2025-03-22,77,0.09,66.0,44.5,314.0,78.0
2025-03-23,77,0.15,74.7,41.2,526.0,76.0
2025-03-24,77,0.17,84.3,44.8,528.0,65.0
2025-03-25,77,0.18,85.3,50.1,531.0,64.0
2025-03-26,77,0.02,59.5,51.1,107.0,85.0
2025-03-27,77,0.1,62.4,49.5,356.0,81.0
2025-03-28,77,0.12,62.2,41.6,396.0,73.0
2025-03-29,77,0.13,63.7,36.1,470.0,69.0
2025-03-30,77,0.1,63.0,45.4,358.0,80.0
2025-03-31,77,0.12,59.3,46.4,402.0,74.0
2025-04-01,77,0.1,59.1,39.2,379.0,78.0
2025-04-02,77,0.1,62.6,35.1,390.0,70.0
2025-04-03,77,0.15,65.7,36.0,522.0,65.0
