date,station_id,eto,tx,tn,rs,rh
2001-01-01,77,0.05,68.1,32.3,252.0,82.0
2001-01-02,77,0.05,66.3,31.1,234.0,81.0
2001-01-03,77,0.05,63.0,32.0,251.0,76.0
2001-01-04,77,0.07,70.1,32.0,267.0,72.0
2001-01-05,77,0.06,66.4,30.9,259.0,76.0
2001-01-06,77,0.06,63.5,34.1,245.0,80.0
2001-01-07,77,0.01,52.7,33.8,91.0,90.0
2001-01-08,77,0.03,57.1,39.0,141.0,90.0
2001-01-09,77,0.01,49.7,31.8,65.0,97.0
2001-01-10,77,0.0,52.8,41.2,28.0,94.0
2001-01-11,77,0.0,48.2,42.7,32.0,93.0
2001-01-12,77,0.06,58.6,39.7,246.0,78.0
2001-01-13,77,0.05,56.4,37.7,212.0,84.0
2001-01-14,77,0.05,57.3,33.2,236.0,75.0
2001-01-15,77,0.11,55.5,41.2,269.0,38.0
2001-01-16,77,0.09,54.9,38.5,271.0,37.0
2001-01-17,77,0.07,60.8,31.4,275.0,49.0
2001-01-18,77,0.05,55.7,26.6,216.0,76.0
2001-01-19,77,0.06,60.7,35.2,245.0,74.0
2001-01-20,77,0.04,56.5,33.8,154.0,76.0
2001-01-21,77,0.04,58.4,34.2,150.0,76.0
2001-01-22,77,0.07,62.2,33.0,269.0,77.0
2001-01-23,77,0.0,51.8,39.6,42.0,94.0
2001-01-24,77,0.05,56.0,34.0,196.0,86.0
2001-01-25,77,0.0,47.4,33.3,29.0,95.0
2001-01-26,77,0.03,52.1,33.2,167.0,92.0
2001-01-27,77,0.1,60.4,33.6,297.0,55.0
2001-01-28,77,0.07,58.9,33.2,272.0,69.0
2001-01-29,77,0.07,58.4,36.1,291.0,78.0
2001-01-30,77,0.07,60.2,32.9,260.0,54.0
2001-01-31,77,0.09,64.2,31.3,313.0,54.0
2001-02-01,77,0.07,61.6,30.6,283.0,72.0
2001-02-02,77,0.04,60.5,35.4,177.0,80.0
2001-02-03,77,0.08,71.0,37.5,304.0,77.0
2001-02-04,77,0.08,73.0,41.4,312.0,83.0
