date,station_id,eto,tx,tn,rs,rh
2000-01-01,77,0.03,54.8,37.3,154.0,80.0
2000-01-02,77,0.06,55.5,28.6,241.0,77.0
2000-01-03,77,0.05,59.0,30.9,243.0,79.0
2000-01-04,77,0.02,52.4,32.6,100.0,93.0
2000-01-05,77,0.09,62.6,33.6,260.0,45.0
2000-01-06,77,0.04,55.0,29.7,170.0,60.0
2000-01-07,77,0.05,58.9,30.5,233.0,77.0
2000-01-08,77,0.04,55.8,32.5,212.0,93.0
2000-01-09,77,0.03,59.8,43.7,157.0,86.0
2000-01-10,77,0.02,56.4,46.1,90.0,93.0
2000-01-11,77,0.01,56.3,42.6,72.0,90.0
2000-01-12,77,0.02,51.4,37.2,116.0,91.0
2000-01-13,77,0.03,57.8,40.5,124.0,89.0
2000-01-14,77,0.01,60.5,49.7,77.0,90.0
2000-01-15,77,0.02,59.3,50.0,80.0,89.0
2000-01-16,77,0.06,58.4,39.4,218.0,75.0
2000-01-17,77,0.04,56.6,39.3,144.0,80.0
2000-01-18,77,0.01,56.5,48.6,81.0,91.0
2000-01-19,77,0.02,62.4,48.6,118.0,94.0
2000-01-20,77,0.04,58.7,41.3,206.0,88.0
2000-01-21,77,0.02,55.7,46.1,97.0,93.0
2000-01-22,77,0.04,59.6,46.3,179.0,88.0
2000-01-23,77,0.0,54.9,49.5,22.0,97.0
2000-01-24,77,0.0,54.3,51.1,51.0,96.0
2000-01-25,77,0.03,58.9,43.5,136.0,92.0
2000-01-26,77,0.05,60.9,37.7,241.0,89.0
2000-01-27,77,0.07,63.2,37.4,294.0,79.0
2000-01-28,77,0.08,62.1,34.3,286.0,64.0
2000-01-29,77,0.08,61.6,39.9,265.0,64.0
2000-01-30,77,0.02,56.3,47.2,93.0,83.0
2000-01-31,77,0.01,50.3,45.3,82.0,95.0
2000-02-01,77,0.03,59.6,49.0,141.0,90.0
2000-02-02,77,0.08,67.4,46.5,313.0,81.0
2000-02-03,77,0.01,60.6,45.4,55.0,86.0
2000-02-04,77,0.03,58.2,45.5,144.0,85.0
2000-02-05,77,0.02,58.5,44.9,115.0,92.0
2000-02-06,77,0.07,67.6,44.8,290.0,82.0
2000-02-07,77,0.06,66.7,41.8,229.0,84.0
2000-02-08,77,0.06,65.6,41.9,254.0,89.0
2000-02-09,77,0.02,59.4,50.5,117.0,92.0
2000-02-10,77,0.02,55.5,42.6,112.0,94.0
2000-02-11,77,0.0,52.6,41.7,37.0,96.0
2000-02-12,77,0.02,53.8,45.4,112.0,96.0
2000-02-13,77,0.01,60.3,49.6,69.0,96.0
2000-02-14,77,0.05,60.8,47.6,171.0,84.0
2000-02-15,77,0.07,61.0,44.0,278.0,84.0
2000-02-16,77,0.01,53.6,39.4,93.0,93.0
2000-02-17,77,0.03,55.5,38.6,160.0,94.0
2000-02-18,77,0.1,65.6,35.8,387.0,76.0
2000-02-19,77,0.1,69.7,39.7,341.0,62.0
2000-02-20,77,0.01,57.7,49.4,72.0,86.0
2000-02-21,77,0.07,65.7,45.6,290.0,79.0
2000-02-22,77,0.01,54.1,44.6,46.0,90.0
2000-02-23,77,0.06,55.1,35.1,294.0,88.0
2000-02-24,77,0.03,50.8,33.0,173.0,93.0
2000-02-25,77,0.06,57.2,43.8,245.0,84.0
2000-02-26,77,0.01,55.6,51.5,66.0,89.0
2000-02-27,77,0.05,55.1,45.5,201.0,84.0
2000-02-28,77,0.06,58.2,37.7,254.0,81.0
2000-02-29,77,0.07,58.7,42.4,309.0,88.0
2000-03-01,77,0.1,63.5,36.7,391.0,75.0
2000-03-02,77,0.04,58.1,42.1,201.0,89.0
2000-03-03,77,0.11,66.5,37.8,436.0,81.0
2000-03-04,77,0.03,58.8,38.6,171.0,94.0
2000-03-05,77,0.02,51.5,46.1,132.0,93.0
2000-03-06,77,0.02,53.4,40.9,128.0,90.0
2000-03-07,77,0.02,53.1,40.0,100.0,88.0
2000-03-08,77,0.02,50.4,36.4,125.0,95.0
2000-03-09,77,0.06,58.6,39.6,265.0,86.0
