date,station_id,eto,tx,tn,rs,rh
2005-01-01,77,0.02,51.5,38.3,103.0,95.0
2005-01-02,77,0.0,48.2,40.7,47.0,97.0
2005-01-03,77,0.01,49.4,42.0,66.0,94.0
2005-01-04,77,0.03,52.3,37.6,145.0,94.0
2005-01-05,77,0.01,52.0,40.4,75.0,94.0
2005-01-06,77,0.04,54.7,34.5,215.0,92.0
2005-01-07,77,0.01,52.2,44.7,47.0,91.0
2005-01-08,77,0.03,53.5,37.3,102.0,84.0
2005-01-09,77,0.03,58.0,36.3,147.0,92.0
2005-01-10,77,0.02,54.8,32.8,117.0,94.0
2005-01-11,77,0.03,54.6,36.4,155.0,87.0
2005-01-12,77,0.05,57.1,31.2,241.0,91.0
2005-01-13,77,0.02,52.0,31.3,107.0,90.0
2005-01-14,77,0.05,57.8,27.1,247.0,89.0
2005-01-15,77,0.04,53.9,31.0,193.0,91.0
2005-01-16,77,0.05,65.0,35.3,212.0,88.0
2005-01-17,77,0.03,53.5,38.8,153.0,97.0
2005-01-18,77,0.04,59.2,38.9,181.0,95.0
2005-01-19,77,0.05,61.9,35.8,235.0,94.0
2005-01-20,77,0.04,58.6,35.5,210.0,96.0
2005-01-21,77,0.03,58.1,37.8,153.0,98.0
2005-01-22,77,0.04,60.9,36.8,184.0,96.0
2005-01-23,77,0.05,63.1,38.1,235.0,93.0
2005-01-24,77,0.04,61.2,38.4,177.0,96.0
2005-01-25,77,0.01,57.1,41.0,80.0,97.0
2005-01-26,77,0.04,63.5,43.2,162.0,91.0
2005-01-27,77,0.02,57.1,41.4,90.0,91.0
2005-01-28,77,0.04,57.5,38.7,180.0,88.0
2005-01-29,77,0.07,61.2,35.1,279.0,85.0
2005-01-30,77,0.08,69.2,33.7,275.0,74.0
2005-01-31,77,0.07,63.3,33.7,265.0,87.0
2005-02-01,77,0.12,76.4,49.3,306.0,35.0
2005-02-02,77,0.12,73.1,41.0,306.0,39.0
2005-02-03,77,0.08,64.8,34.7,295.0,84.0
2005-02-04,77,0.06,64.6,39.4,248.0,85.0
2005-02-05,77,0.06,60.6,36.8,268.0,89.0
2005-02-06,77,0.08,61.9,38.6,287.0,72.0
2005-02-07,77,0.05,58.7,40.7,202.0,79.0
2005-02-08,77,0.03,56.9,41.3,145.0,82.0
2005-02-09,77,0.07,65.0,40.2,248.0,76.0
2005-02-10,77,0.09,69.4,38.6,318.0,66.0
2005-02-11,77,0.05,61.2,40.5,181.0,73.0
2005-02-12,77,0.09,66.7,34.9,315.0,77.0
2005-02-13,77,0.01,56.4,44.6,88.0,90.0
2005-02-14,77,0.01,56.0,47.6,75.0,94.0
2005-02-15,77,0.01,57.1,49.2,72.0,93.0
2005-02-16,77,0.03,61.4,50.2,142.0,92.0
2005-02-17,77,0.03,63.2,49.4,124.0,85.0
2005-02-18,77,0.05,62.6,50.2,197.0,91.0
2005-02-19,77,0.01,57.7,48.7,83.0,94.0
2005-02-20,77,0.03,58.7,46.0,147.0,89.0
2005-02-21,77,0.02,63.3,47.5,109.0,89.0
2005-02-22,77,0.1,68.9,42.5,378.0,78.0
2005-02-23,77,0.1,65.9,40.7,361.0,88.0
2005-02-24,77,0.05,59.5,49.9,217.0,86.0
2005-02-25,77,0.02,57.9,49.1,96.0,86.0
2005-02-26,77,0.03,58.4,44.8,153.0,86.0
2005-02-27,77,0.02,59.3,47.4,88.0,94.0
2005-02-28,77,0.07,63.4,41.8,273.0,84.0
2005-03-01,77,0.08,63.5,39.6,304.0,85.0
2005-03-02,77,0.1,63.1,42.4,395.0,84.0
2005-03-03,77,0.07,61.4,38.8,266.0,87.0
2005-03-04,77,0.05,63.2,46.8,200.0,91.0
2005-03-05,77,0.11,70.4,39.2,389.0,91.0
2005-03-06,77,0.13,74.6,42.4,401.0,76.0
2005-03-07,77,0.09,70.5,43.0,333.0,91.0
2005-03-08,77,0.12,75.5,44.4,401.0,88.0
2005-03-09,77,0.12,77.3,50.4,388.0,87.0
2005-03-10,77,0.17,84.3,46.4,430.0,50.0
2005-03-11,77,0.15,90.3,53.2,427.0,53.0
2005-03-12,77,0.08,68.2,48.9,297.0,91.0
2005-03-13,77,0.13,71.9,44.8,418.0,78.0
2005-03-14,77,0.21,72.4,44.7,441.0,27.0
2005-03-15,77,0.16,75.2,39.6,445.0,46.0
2005-03-16,77,0.11,68.0,35.0,362.0,69.0
2005-03-17,77,0.08,66.3,45.5,266.0,67.0
2005-03-18,77,0.02,56.4,46.4,133.0,90.0
2005-03-19,77,0.09,62.0,52.4,268.0,81.0
2005-03-20,77,0.06,61.6,49.2,226.0,79.0
2005-03-21,77,0.04,60.7,47.0,186.0,90.0
2005-03-22,77,0.04,57.6,49.9,170.0,87.0
2005-03-23,77,0.05,58.3,40.0,187.0,80.0
2005-03-24,77,0.11,61.5,34.3,420.0,75.0
2005-03-25,77,0.1,63.8,34.4,390.0,73.0
2005-03-26,77,0.11,68.4,39.1,379.0,78.0
2005-03-27,77,0.07,62.2,44.2,257.0,86.0
2005-03-28,77,0.15,61.7,45.6,499.0,70.0
2005-03-29,77,0.12,62.9,41.4,393.0,75.0
2005-03-30,77,0.16,70.5,35.1,526.0,56.0
2005-03-31,77,0.17,73.0,38.2,508.0,59.0
2005-04-01,77,0.16,74.4,40.7,492.0,63.0
2005-04-02,77,0.16,68.3,41.1,497.0,72.0
2005-04-03,77,0.05,60.6,41.4,178.0,84.0
2005-04-04,77,0.12,62.8,37.4,424.0,75.0
2005-04-05,77,0.16,71.2,38.1,527.0,70.0
2005-04-06,77,0.17,73.3,42.0,500.0,70.0
2005-04-07,77,0.1,59.9,42.5,345.0,75.0
2005-04-08,77,0.13,60.7,42.9,422.0,79.0
2005-04-09,77,0.16,69.3,40.3,531.0,69.0
2005-04-10,77,0.18,72.8,40.3,528.0,67.0
2005-04-11,77,0.16,69.7,40.9,508.0,75.0
2005-04-12,77,0.15,64.7,37.7,485.0,67.0
2005-04-13,77,0.15,60.6,34.6,484.0,61.0
2005-04-14,77,0.19,69.8,34.1,570.0,52.0
2005-04-15,77,0.19,77.1,39.0,567.0,60.0
2005-04-16,77,0.18,77.0,44.6,551.0,75.0
2005-04-17,77,0.19,72.0,46.5,563.0,63.0
2005-04-18,77,0.21,70.3,39.3,592.0,47.0
2005-04-19,77,0.24,72.0,44.4,593.0,35.0
2005-04-20,77,0.17,71.2,44.0,749.0,64.0
2005-04-21,77,0.18,75.2,38.1,551.0,64.0
2005-04-22,77,0.17,79.1,45.6,453.0,62.0
2005-04-23,77,0.09,63.8,49.7,316.0,78.0
2005-04-24,77,0.06,61.6,43.5,210.0,79.0
2005-04-25,77,0.17,71.0,38.6,541.0,74.0
2005-04-26,77,0.17,74.4,39.4,490.0,62.0
2005-04-27,77,0.12,67.8,42.4,385.0,77.0
2005-04-28,77,0.12,66.8,46.6,390.0,74.0
2005-04-29,77,0.19,72.2,41.0,580.0,72.0
2005-04-30,77,0.14,69.6,42.7,418.0,75.0
2005-05-01,77,0.19,74.7,45.4,578.0,70.0
2005-05-02,77,0.2,77.3,44.1,597.0,68.0
2005-05-03,77,0.17,74.8,43.3,508.0,73.0
2005-05-04,77,0.01,62.5,53.3,122.0,95.0
2005-05-05,77,0.14,67.1,52.1,462.0,83.0
2005-05-06,77,0.12,67.9,46.3,412.0,81.0
