date,station_id,eto,tx,tn,rs,rh
2012-01-01,109,0.06,61.9,30.9,223.0,75.0
2012-01-02,109,0.03,63.8,31.9,145.0,86.0
2012-01-03,109,0.04,62.8,36.7,173.0,87.0
2012-01-04,109,0.05,65.9,31.8,198.0,76.0
2012-01-05,109,0.05,64.7,32.8,223.0,81.0
2012-01-06,109,0.04,57.2,28.3,291.0,84.0
2012-01-07,109,0.09,69.8,27.2,229.0,36.0
2012-01-08,109,0.07,39.7,30.3,0.0,75.0
2012-01-09,109,0.06,64.1,25.3,238.0,68.0
2012-01-10,109,0.06,64.7,26.1,236.0,69.0
2012-01-11,109,0.07,63.9,31.1,363.0,54.0
2012-01-12,109,0.06,67.4,25.2,246.0,60.0
2012-01-13,109,0.07,67.2,23.1,248.0,58.0
2012-01-14,109,0.06,65.3,24.5,246.0,62.0
2012-01-15,109,0.05,54.9,25.0,176.0,72.0
2012-01-16,109,0.06,51.9,19.4,260.0,58.0
2012-01-17,109,0.06,54.2,18.5,248.0,70.0
2012-01-18,109,0.04,52.8,23.8,163.0,79.0
2012-01-19,109,0.01,51.4,28.9,52.0,91.0
2012-01-20,109,0.0,55.7,45.7,25.0,96.0
2012-01-21,109,0.06,56.8,36.9,229.0,81.0
2012-01-22,109,0.0,49.8,37.3,35.0,92.0
2012-01-23,109,0.02,55.6,38.0,113.0,90.0
2012-01-24,109,0.04,55.9,40.3,179.0,89.0
2012-01-25,109,0.06,64.5,32.0,301.0,78.0
2012-01-26,109,0.05,65.1,47.9,211.0,90.0
2012-01-27,109,0.09,73.2,34.6,292.0,55.0
2012-01-28,109,0.08,63.6,29.4,286.0,60.0
2012-01-29,109,0.06,64.8,31.4,252.0,71.0
2012-01-30,109,0.04,60.3,37.9,179.0,82.0
2012-01-31,109,0.03,56.3,36.8,142.0,90.0
2012-02-01,109,0.05,62.1,38.3,198.0,87.0
2012-02-02,109,0.07,64.6,34.7,257.0,70.0
2012-02-03,109,0.08,63.2,32.3,285.0,70.0
2012-02-04,109,0.08,65.2,30.0,298.0,64.0
2012-02-05,109,0.07,67.0,30.9,252.0,63.0
2012-02-06,109,0.07,63.3,33.4,192.0,61.0
2012-02-07,109,0.01,55.9,48.0,56.0,90.0
2012-02-08,109,0.08,65.9,36.8,302.0,86.0
2012-02-09,109,0.08,68.1,33.9,306.0,79.0
2012-02-10,109,0.02,59.5,37.2,97.0,92.0
2012-02-11,109,0.05,61.4,38.8,217.0,87.0
2012-02-12,109,0.05,58.4,39.3,214.0,86.0
