date,station_id,eto,tx,tn,rs,rh
1995-01-01,109,,51.1,42.5,89.0,91.0
1995-01-02,109,,52.9,40.3,81.0,82.0
1995-01-03,109,,54.4,46.5,134.0,93.0
1995-01-04,109,,50.7,46.8,41.0,90.0
1995-01-05,109,,56.8,46.0,176.0,87.0
1995-01-06,109,,54.3,45.7,44.0,90.0
1995-01-07,109,,60.3,50.3,159.0,88.0
1995-01-08,109,,58.2,53.4,12.0,91.0
1995-01-09,109,,61.0,54.6,19.0,93.0
1995-01-10,109,,60.0,47.4,92.0,90.0
1995-01-11,109,,61.3,46.3,171.0,86.0
1995-01-12,109,,59.3,52.7,84.0,96.0
1995-01-13,109,,59.5,54.0,41.0,95.0
1995-01-14,109,,58.7,47.8,93.0,92.0
1995-01-15,109,,55.7,42.6,202.0,84.0
1995-01-16,109,,53.3,36.8,191.0,88.0
1995-01-17,109,,53.1,32.7,192.0,88.0
1995-01-18,109,,54.6,37.5,259.0,87.0
1995-01-19,109,,57.6,37.6,217.0,78.0
1995-01-20,109,,50.4,44.0,42.0,88.0
1995-01-21,109,,51.4,46.5,98.0,90.0
1995-01-22,109,,53.5,49.6,26.0,93.0
1995-01-23,109,,58.9,50.7,120.0,90.0
1995-01-24,109,,58.1,49.0,131.0,90.0
1995-01-25,109,,58.8,45.4,179.0,90.0
1995-01-26,109,,54.0,44.4,44.0,96.0
1995-01-27,109,,54.6,51.2,54.0,97.0
1995-01-28,109,,61.7,53.7,133.0,93.0
1995-01-29,109,,63.1,53.4,176.0,90.0
1995-01-30,109,,60.5,54.8,62.0,96.0
1995-01-31,109,,67.0,54.3,199.0,95.0
1995-02-01,109,,67.5,52.3,228.0,94.0
1995-02-02,109,,67.5,54.1,296.0,88.0
1995-02-03,109,,62.4,46.6,303.0,92.0
1995-02-04,109,,58.4,45.8,179.0,95.0
1995-02-05,109,,58.4,47.7,135.0,92.0
1995-02-06,109,,56.8,49.2,159.0,91.0
1995-02-07,109,,59.4,45.7,173.0,90.0
1995-02-08,109,,60.9,42.6,219.0,89.0
1995-02-09,109,,65.4,37.5,344.0,86.0
1995-02-10,109,,59.7,43.2,171.0,94.0
1995-02-11,109,,53.2,49.9,45.0,92.0
1995-02-12,109,,59.3,45.2,183.0,82.0
1995-02-13,109,,56.1,38.8,130.0,87.0
1995-02-14,109,,56.2,31.0,374.0,75.0
1995-02-15,109,,60.1,29.6,379.0,77.0
1995-02-16,109,,55.6,34.2,186.0,85.0
1995-02-17,109,,63.9,34.4,335.0,84.0
1995-02-18,109,,66.1,43.5,289.0,91.0
1995-02-19,109,,71.7,39.9,381.0,90.0
