date,station_id,eto,tx,tn,rs,rh
1999-01-01,109,,59.4,29.4,256.0,82.0
1999-01-02,109,,56.8,25.3,240.0,87.0
1999-01-03,109,,53.5,29.7,244.0,92.0
1999-01-04,109,,51.0,31.4,209.0,97.0
1999-01-05,109,,48.0,23.1,225.0,98.0
1999-01-06,109,,45.3,28.5,145.0,99.0
1999-01-07,109,,43.3,26.2,89.0,100.0
1999-01-08,109,,55.9,34.1,239.0,85.0
1999-01-09,109,,44.8,26.6,193.0,97.0
1999-01-10,109,,44.5,26.7,193.0,99.0
1999-01-11,109,,51.0,32.4,208.0,94.0
1999-01-12,109,,52.9,29.6,185.0,99.0
1999-01-13,109,,52.5,35.5,132.0,99.0
1999-01-14,109,,55.3,32.1,124.0,96.0
1999-01-15,109,,56.5,46.1,89.0,100.0
1999-01-16,109,,59.6,49.3,153.0,93.0
1999-01-17,109,,55.4,48.7,52.0,100.0
1999-01-18,109,,57.1,50.7,67.0,100.0
1999-01-19,109,,58.5,50.3,71.0,100.0
1999-01-20,109,,56.3,48.7,63.0,98.0
1999-01-21,109,,57.3,41.5,197.0,91.0
1999-01-22,109,,56.2,43.9,97.0,97.0
1999-01-23,109,,53.8,31.1,180.0,90.0
1999-01-24,109,,57.1,27.8,304.0,64.0
1999-01-25,109,,55.9,42.1,241.0,66.0
1999-01-26,109,,52.4,32.1,170.0,89.0
1999-01-27,109,,64.0,29.4,312.0,62.0
1999-01-28,109,,58.7,27.0,297.0,85.0
1999-01-29,109,,54.9,28.7,310.0,90.0
1999-01-30,109,,55.2,31.6,205.0,92.0
1999-01-31,109,,56.0,34.5,235.0,85.0
1999-02-01,109,,58.3,28.9,333.0,84.0
1999-02-02,109,,60.8,27.8,322.0,83.0
1999-02-03,109,,61.9,32.6,329.0,85.0
1999-02-04,109,,59.3,34.4,310.0,81.0
1999-02-05,109,,56.2,29.7,281.0,84.0
1999-02-06,109,,51.5,43.2,17.0,96.0
1999-02-07,109,,58.1,46.0,134.0,97.0
1999-02-08,109,,55.9,46.7,61.0,100.0
1999-02-09,109,,56.0,32.9,279.0,86.0
1999-02-10,109,,53.3,28.4,355.0,80.0
1999-02-11,109,,53.6,27.5,341.0,70.0
1999-02-12,109,,56.0,32.3,212.0,76.0
1999-02-13,109,,56.6,32.6,197.0,84.0
1999-02-14,109,,55.3,37.1,191.0,93.0
1999-02-15,109,,55.0,31.6,276.0,89.0
1999-02-16,109,,53.3,44.4,40.0,100.0
1999-02-17,109,,62.9,45.7,305.0,90.0
1999-02-18,109,,53.5,42.4,89.0,98.0
1999-02-19,109,,66.3,34.9,375.0,67.0
1999-02-20,109,,49.6,35.4,50.0,98.0
1999-02-21,109,,55.0,35.8,294.0,86.0
1999-02-22,109,,59.5,46.7,283.0,84.0
1999-02-23,109,,62.4,37.5,370.0,89.0
1999-02-24,109,,56.7,40.2,126.0,94.0
1999-02-25,109,,56.9,39.1,327.0,86.0
1999-02-26,109,,56.5,33.7,279.0,84.0
1999-02-27,109,,63.1,41.0,355.0,73.0
1999-02-28,109,,57.6,47.7,86.0,96.0
1999-03-01,109,,63.1,41.0,418.0,87.0
1999-03-02,109,,63.5,34.6,390.0,84.0
1999-03-03,109,,58.2,40.6,407.0,80.0
1999-03-04,109,,57.9,31.7,400.0,73.0
1999-03-05,109,,58.0,31.3,383.0,75.0
1999-03-06,109,,56.2,37.0,353.0,80.0
1999-03-07,109,,58.4,31.2,470.0,75.0
1999-03-08,109,,51.0,42.3,74.0,94.0
1999-03-09,109,,53.9,36.5,453.0,78.0
1999-03-10,109,,53.8,33.2,330.0,81.0
1999-03-11,109,,61.4,33.1,475.0,72.0
1999-03-12,109,,61.4,32.8,468.0,85.0
1999-03-13,109,,60.0,33.6,386.0,88.0
1999-03-14,109,,53.8,43.4,78.0,91.0
1999-03-15,109,,61.2,40.6,446.0,90.0
1999-03-16,109,,60.3,38.8,335.0,92.0
1999-03-17,109,,57.4,41.0,394.0,85.0
1999-03-18,109,,59.2,39.6,350.0,85.0
1999-03-19,109,,58.7,46.4,67.0,95.0
1999-03-20,109,,60.6,42.6,405.0,83.0
1999-03-21,109,,60.4,41.6,394.0,85.0
1999-03-22,109,,58.1,37.6,321.0,90.0
1999-03-23,109,,57.3,45.5,384.0,82.0
1999-03-24,109,,56.6,48.2,65.0,90.0
1999-03-25,109,,65.4,48.6,380.0,87.0
1999-03-26,109,,64.4,41.0,527.0,78.0
1999-03-27,109,,60.1,33.3,534.0,70.0
1999-03-28,109,,62.6,31.9,530.0,75.0
1999-03-29,109,,60.7,36.5,427.0,82.0
1999-03-30,109,,56.7,30.7,395.0,81.0
1999-03-31,109,,55.0,32.8,528.0,80.0
1999-04-01,109,,62.8,32.0,535.0,70.0
1999-04-02,109,,65.4,35.0,558.0,49.0
1999-04-03,109,,57.8,38.8,447.0,53.0
1999-04-04,109,,61.2,37.9,572.0,54.0
1999-04-05,109,,54.9,39.8,270.0,87.0
1999-04-06,109,,56.4,38.0,125.0,78.0
1999-04-07,109,,56.2,38.0,273.0,89.0
1999-04-08,109,,51.8,36.1,435.0,84.0
1999-04-09,109,,56.9,29.9,540.0,72.0
