date,station_id,eto,tx,tn,rs,rh
2022-01-01,77,0.05,54.3,30.4,261.0,73.0
2022-01-02,77,0.05,54.5,28.4,244.0,77.0
2022-01-03,77,0.01,56.2,40.0,77.0,90.0
2022-01-04,77,0.03,59.6,49.0,131.0,91.0
2022-01-05,77,0.01,55.9,44.8,90.0,93.0
2022-01-06,77,0.01,54.1,48.9,71.0,92.0
2022-01-07,77,0.01,55.3,38.4,72.0,95.0
2022-01-08,77,0.06,60.4,34.4,269.0,86.0
2022-01-09,77,0.06,61.0,31.8,268.0,76.0
2022-01-10,77,0.07,67.2,40.7,257.0,70.0
2022-01-11,77,0.05,62.1,37.0,234.0,83.0
2022-01-12,77,0.06,66.1,37.6,266.0,81.0
2022-01-13,77,0.05,62.3,39.5,222.0,87.0
2022-01-14,77,0.07,70.4,35.1,250.0,69.0
2022-01-15,77,0.05,66.0,41.4,188.0,70.0
2022-01-16,77,0.06,66.7,41.0,270.0,76.0
2022-01-17,77,0.04,63.1,37.6,178.0,84.0
2022-01-18,77,0.05,57.7,34.3,254.0,89.0
2022-01-19,77,0.06,61.2,38.8,274.0,89.0
2022-01-20,77,0.06,65.0,37.0,279.0,86.0
2022-01-21,77,0.14,67.7,38.0,269.0,36.0
2022-01-22,77,0.13,70.6,42.9,294.0,28.0
2022-01-23,77,0.07,67.9,35.0,305.0,60.0
2022-01-24,77,0.06,63.4,33.7,300.0,80.0
2022-01-25,77,0.07,63.2,32.0,319.0,85.0
2022-01-26,77,0.07,65.4,30.1,308.0,75.0
2022-01-27,77,0.08,69.3,32.1,324.0,61.0
2022-01-28,77,0.08,67.7,34.7,270.0,52.0
2022-01-29,77,0.07,63.7,34.8,321.0,67.0
2022-01-30,77,0.07,62.0,29.9,326.0,79.0
2022-01-31,77,0.08,66.1,34.8,328.0,80.0
2022-02-01,77,0.13,61.3,34.4,354.0,25.0
2022-02-02,77,0.14,62.8,41.8,345.0,29.0
2022-02-03,77,0.07,65.9,33.3,288.0,63.0
2022-02-04,77,0.09,67.4,31.2,346.0,62.0
2022-02-05,77,0.08,64.9,35.4,318.0,74.0
2022-02-06,77,0.08,68.0,29.0,362.0,74.0
2022-02-07,77,0.09,72.5,32.8,362.0,69.0
2022-02-08,77,0.09,73.6,31.8,364.0,70.0
2022-02-09,77,0.13,80.3,41.2,343.0,36.0
2022-02-10,77,0.13,81.6,48.5,368.0,
2022-02-11,77,0.1,77.0,39.2,375.0,71.0
2022-02-12,77,0.11,80.1,41.2,380.0,57.0
2022-02-13,77,0.11,77.3,43.0,376.0,60.0
2022-02-14,77,0.05,60.5,39.9,192.0,81.0
2022-02-15,77,0.14,62.4,32.6,403.0,41.0
2022-02-16,77,0.16,72.9,43.6,401.0,29.0
2022-02-17,77,0.14,71.2,38.8,412.0,31.0
2022-02-18,77,0.11,70.1,36.8,415.0,57.0
2022-02-19,77,0.12,73.4,38.0,410.0,57.0
2022-02-20,77,0.08,63.9,35.6,308.0,79.0
2022-02-21,77,0.12,59.7,32.7,415.0,57.0
2022-02-22,77,0.05,52.1,30.3,236.0,75.0
2022-02-23,77,0.11,57.3,28.2,445.0,45.0
2022-02-24,77,0.11,59.4,24.4,427.0,52.0
2022-02-25,77,0.11,62.6,25.7,444.0,52.0
2022-02-26,77,0.07,60.6,29.8,261.0,59.0
2022-02-27,77,0.12,72.0,34.2,439.0,51.0
2022-02-28,77,0.13,75.2,36.4,440.0,51.0
2022-03-01,77,0.13,77.3,37.5,413.0,50.0
2022-03-02,77,0.13,73.4,39.4,400.0,59.0
2022-03-03,77,0.02,58.5,43.7,128.0,85.0
2022-03-04,77,0.11,64.1,42.3,348.0,67.0
2022-03-05,77,0.07,58.7,31.4,299.0,63.0
2022-03-06,77,0.12,65.2,32.1,475.0,59.0
2022-03-07,77,0.18,70.0,32.9,483.0,32.0
2022-03-08,77,0.17,76.9,38.2,489.0,33.0
2022-03-09,77,0.14,72.9,38.3,464.0,51.0
2022-03-10,77,0.19,69.3,41.0,521.0,23.0
2022-03-11,77,0.16,74.4,34.9,508.0,26.0
2022-03-12,77,0.15,70.6,31.2,507.0,51.0
2022-03-13,77,0.14,66.0,44.0,452.0,63.0
2022-03-14,77,0.15,72.1,37.3,482.0,55.0
2022-03-15,77,0.09,68.9,46.4,322.0,82.0
2022-03-16,77,0.15,73.7,38.7,521.0,62.0
2022-03-17,77,0.14,70.8,41.8,473.0,68.0
2022-03-18,77,0.15,73.3,36.6,504.0,63.0
2022-03-19,77,0.07,61.1,41.5,265.0,75.0
2022-03-20,77,0.18,72.6,38.5,537.0,45.0
2022-03-21,77,0.17,82.3,41.8,530.0,44.0
2022-03-22,77,0.2,86.8,53.5,542.0,
2022-03-23,77,0.16,75.1,45.5,532.0,74.0
2022-03-24,77,0.16,76.6,43.0,519.0,76.0
2022-03-25,77,0.13,72.6,41.9,462.0,78.0
2022-03-26,77,0.18,77.5,38.4,549.0,67.0
2022-03-27,77,0.1,65.8,44.1,335.0,76.0
2022-03-28,77,0.03,58.6,44.2,152.0,90.0
2022-03-29,77,0.11,68.5,42.1,392.0,85.0
2022-03-30,77,0.12,65.5,44.7,409.0,79.0
2022-03-31,77,0.16,71.5,40.3,552.0,72.0
2022-04-01,77,0.18,76.8,39.9,585.0,62.0
2022-04-02,77,0.2,81.6,41.8,568.0,49.0
2022-04-03,77,0.2,79.8,40.8,595.0,45.0
2022-04-04,77,0.16,72.7,44.5,474.0,62.0
2022-04-05,77,0.19,76.5,43.4,602.0,49.0
2022-04-06,77,0.21,89.4,40.2,602.0,37.0
2022-04-07,77,0.22,89.8,47.9,591.0,38.0
2022-04-08,77,0.22,90.5,47.9,589.0,42.0
2022-04-09,77,0.23,80.5,41.2,636.0,28.0
2022-04-10,77,0.24,73.4,45.2,587.0,24.0
2022-04-11,77,0.19,59.6,38.2,563.0,53.0
2022-04-12,77,0.18,60.7,32.4,584.0,52.0
2022-04-13,77,0.12,59.8,36.7,417.0,63.0
2022-04-14,77,0.04,56.9,47.3,206.0,88.0
2022-04-15,77,0.17,66.5,43.0,630.0,69.0
2022-04-16,77,0.18,68.2,39.1,588.0,73.0
2022-04-17,77,0.19,67.6,34.2,656.0,62.0
2022-04-18,77,0.15,67.6,34.6,519.0,76.0
2022-04-19,77,0.16,64.7,46.6,554.0,72.0
2022-04-20,77,0.1,64.7,44.8,355.0,76.0
2022-04-21,77,0.11,63.1,45.4,414.0,76.0
2022-04-22,77,0.14,63.0,42.9,494.0,76.0
2022-04-23,77,0.21,75.5,41.0,637.0,59.0
2022-04-24,77,0.22,77.8,41.1,637.0,56.0
